TRAINING
weld welding
buzz buzzer
score scorer
equip equipping
tear tearing
ski skiing
eat eater
reprint reprinting
sell selling
except exception
reciprocate reciprocation
try trial
document documentary
relax relaxant
tank tankage
atone atonement
marginalize marginalization
say saying
respect respecter
deprive deprivation
snoop snooper
jewel jewelry
progress progression
appoint appointee
codify codification
relive reliving
spar sparring
illuminate illumination
sting stinging
sprout sprouting
resonate resonance
snort drug
adjudicate adjudicator
assist assistance
dissent dissenter
taste taster
sweat sweating
cook cooking
sprawl sprawling
seal sealant
orchestrate orchestra
bomb bombing
review reviewer
heat heating
mourn mourner
discover discoverer
wake waking
cease cessation
precede precedence
heave heaving
land landing
debrief debriefing
savor relish
stagnate stagnancy
end ending
go goer
concoct concoction
enjoin injunction
pretend pretending
mill milling
rearrange rearrangement
export exporting
deepen deepening
strangle strangulation
remember remembering
pasteurize pasteurization
compress compressing
reaffirm reaffirmation
repair repairer
advise advisor
sum summation
ratify ratification
invest investor
ferry ferrying
abolish abolishment
purchase purchaser
pair pairing
whir whirring
lower lowering
act acting
mortgage mortgagee
glamorize glamorization
reduce reducing
fingerprint fingerprinting
denominate denomination
snuggle snuggling
motivate motivation
cartoon cartoonist
initiate initiation
deflect deflection
excavate excavator
cancel cancellation
remember remembrance
type typist
wade wading
move movement
reevaluate reevaluation
waste wastage
chicane chicanery
jerk jerking
enter entrant
outfit outfitter
link linkage
tick ticker
remind reminder
grant grantor
allow allowance
neutralize neutralization
distribute distributor
overstate overstatement
start starting
impersonate impersonation
note notation
duck ducking
disembark disembarkation
assign assignee
port porter
dream dreaming
describe description
tile tiling
suppose supposition
breed breeder
thin thinner
activate activator
skate skating
roll rolling
live living
shuffle shuffling
subside subsiding
stack stacker
liquidate liquidator
characterize characterization
elaborate elaboration
convene convention
flower flowering
coast coaster
head heading
economize economy
circumnavigate circumnavigation
constrict constrictor
cycle cyclist
court courting
culminate culmination
assess assessor
account accounting
lubricate lubrication
resign resignation
lock locker
gratify gratification
ring ringing
grow growth
interrogate interrogator
cup cupping
repel repellent
hammer hammering
commemorate commemoration
tremble trembling
rediscover rediscovery
peruse perusal
hang hanging
fire firing
block blocker
take taker
transform transformer
inform informant
photocopy photocopier
decorate decor
buy buying
defoliate defoliant
scream screaming
arraign arraignment
point pointer
disinvest undress
smuggle smuggler
deteriorate deterioration
exist existence
endorse endorsement
tune tuning
ruminate ruminant
concede conceding
feast feasting
finalize finalization
substitute substituting
strain strainer
present presentment
proceed procedure
sustain sustenance
plant planting
wreck wreckage
amputate amputation
block blocking
cook cookery
signal signaling
despair desperate
oversimplify oversimplification
circumvent circumvention
diet dietary
invite invitation
despise despising
certify certification
inter interment
watch watching
preach preaching
soften softening
refresh refreshment
enhance enhancer
formulate formula
exchange exchanger
theorise theory
throb throbbing
redeploy redeployment
energize energy
notify notification
aggregate aggregator
spot spotting
clean cleaning
expose exposure
seize seizure
forge forger
prefer preference
dwell dwelling
jostle jostling
track tracker
rule ruler
wax waxing
improve improver
condense condensate
meddle meddling
instrument instrumentation
ostracise ostracism
coach coaching
emulate emulation
distill distillery
diagnose diagnosis
gossip gossiping
pit pitting
switch switching
purge purging
convene convening
ferment fermenting
snip snipping
underestimate underestimation
screen screener
scale scaling
arbitrate arbitration
help helper
advertise advertisement
classify classification
complain complainant
fuse fusion
contend contender
brawl brawler
list listing
activate activation
cite citation
encase encasement
conclude conclusion
prevail prevalence
prod prodding
clear clearing
perpetuate perpetuation
interpret interpretation
howl howler
foreclose foreclosure
dig digger
derogate derogation
repudiate repudiation
jam jamming
mutter muttering
repeat repeating
protect protector
suffocate suffocation
view viewer
top topper
compose component
doubt doubter
depict picture
deify deity
appear appearance
sin sinner
speak speech
mock mockery
stain stainer
fabricate fabrication
aspire aspirant
pollinate pollination
reunify reunion
connect connector
haggle haggling
speculate speculator
celebrate celebrant
choke choker
cover report
fish fishery
toboggan tobogganing
digest digestion
emphasize emphasis
discover discovery
long longing
travel traveler
seduce seduction
fasten fastening
require requirement
play playing
slip slippage
unify unit
bet better
subdivide subdivision
oppress oppression
itemize item
expire expiration
act actor
win winner
serve serving
intrude intrusion
make making
centralize centralization
disinvest disinvestment
ranch rancher
legislate legislator
thrust thrusting
advise adviser
procrastinate procrastination
elect elector
reason reasoning
nullify nullification
subjugate subjugation
pretend pretense
fold folding
calculate calculus
manifest manifestation
round rounder
defect defection
manipulate manipulator
conciliate conciliator
dump dumping
eavesdrop eavesdropper
propagate propagation
freshen freshener
design designing
parole parolee
simplify simplification
blackmail blackmailer
curtail curtailment
launch launcher
detoxify detoxification
save savior
rock rocker
console consolation
dissipate dissipation
counsel counseling
quiver quivering
hum humming
understate understatement
savor savoring
warn warning
yacht yachting
die dying
invent inventor
merchandise merchandising
transpose transposition
gather gatherer
pacify peace
trick trickery
position positioning
think thinking
stipulate stipulation
build builder
swell swelling
index indexation
peruse perusing
disband disbandment
fly flyer
worry worrying
dine diner
legislate legislation
rig rigging
time timing
reconstruct reconstruction
order ordering
miscalculate miscalculation
pressurize pressure
buff buffer
militarize militarization
pray prayer
show showing
underperform underperformer
counteract counteraction
disintegrate disintegration
solicit solicitation
send sender
gravitate gravitation
formulate formulation
astonish astonishment
strike striking
intensify intensity
miniaturize miniaturization
perpetrate perpetrator
shred shredder
store storage
copy copier
jeer jeering
defect defector
rotate rotation
lever leverage
collaborate collaborator
dilate dilatation
perpetrate perpetration
simulate simulation
stitch stitcher
manipulate manipulation
program programing
disown disowning
remain remnant
quadruple quadrupling
clarify clarification
incline inclination
ward warder
complicate complication
abstain abstention
graduate graduation
acknowledge acknowledgment
hunt hunter
reconsider reconsideration
ignite ignition
deduce deduction
claim claimant
demote demotion
repute reputation
appeal appellant
innovate innovation
revert reverting
gut gutter
restore restoration
revolt revolution
foot footer
define definition
terminate termination
bid bidder
shine shining
patent patentee
consign consignment
compare comparing
utilize utility
commit committee
deposit depositor
observe observer
deprecate deprecation
farm farming
internationalize internationalization
moderate moderation
seek seeking
proceed proceeding
unmask unmasking
incinerate incinerator
congratulate congratulation
gloat gloating
ruin ruining
forward forwarding
conduct conducting
create creator
stun stunner
moderate moderator
block blockage
clip clipper
seize seizing
supplant supplanting
line lining
arouse arousal
brainstorm brainstorming
permit permission
irradiate irradiation
spin spinner
give giver
direct director
enlist enlistment
baffle mystery
rattle rattling
design designer
retrench retrenchment
entitle entitlement
promulgate promulgation
decompress decompression
bat batter
invoke invocation
presuppose presupposition
intervene intervention
preside president
belong belongings
relate relation
eject ejector
restrict restriction
evaporate vapor
deflate deflation
probate probation
canton cantonment
rehabilitate rehabilitation
remain continuation
defoliate defoliation
wander wandering
hijack hijacking
bowl bowler
whip whipping
untangle untangling
hurdle hurdler
deviate deviant
vanish vanishing
impersonate persona
verify verification
transport transporter
vibrate vibrancy
acquiesce acquiescence
will willing
gyrate gyration
erect erection
punctuate punctuation
pace pacing
evaporate evaporation
thin thinning
mitigate mitigation
roar roaring
commission commissioner
seal sealer
assign assignment
refer referral
solidify solidifying
succeed successor
suspect suspicion
devastate devastation
convey conveyance
wink winking
whistle whistling
harvest harvesting
hike hiker
capitalize capitalization
ordain ordinance
command commandant
count counter
fry frying
bust buster
recollect recollection
wean weaning
promote promoter
synthesize synthesizer
consist consistence
withhold withholding
carve carving
muffle muffler
inspire inspiration
plot plotter
motivate motivator
tip tipper
deal dealing
mix mixture
precipitate precipitator
renew renewal
propose proposer
rib ribbing
entrench entrenchment
course coursing
compile compiler
document documentation
plumb plumbing
illustrate illustration
plan planning
spread spreading
idle idler
obliterate obliteration
repel repellant
rot rotting
see seer
demarcate demarcation
murder murderer
participate participation
insulate insulator
reside residency
tour tourist
lodge lodgings
delineate delineation
mark marking
expect expectation
train trainer
forsake forsaking
transport transportation
tail tailing
breathe breathing
castrate castration
appraise appraisal
spot spotter
skate skater
concede concession
swim swimming
retrain retraining
coordinate coordinator
issue issuer
refuse refusal
litigate litigation
stamp stamper
conserve conservation
recite recitation
install installation
pry prying
master mastering
insert insertion
steamroll steamroller
patch patching
dirty dirtying
sparkle sparkler
elevate elevator
wither withering
talk talker
volunteer voluntary
carry carriage
ranch ranching
recycle recycling
arrange arranger
howl howling
bite biter
number numbering
give giving
tap tapper
rate rating
conjure conjuring
serve servant
secede secession
divest divestiture
dispute disputation
close closer
generate generation
dominate domination
ascend ascension
fall accrual
distract distraction
negate negation
fit fitting
occupy occupation
mix mixing
spin spinning
case casing
state statement
lodge lodger
converse conversation
affirm affirmation
relocate relocation
persevere perseverance
steep steeper
decorate decoration
swerve swerving
breed breeding
convene convener
widen widening
defer deferral
hurdle hurdling
hit hitter
rival rivalry
render rendition
assist assistant
full fuller
paper papering
emulate emulator
renounce renunciation
sting stinger
radiate radiator
ripple rippling
populate population
judge judiciary
accompany accompaniment
sew sewer
swear swearing
add addition
beautify beautification
standardize standardization
disappear disappearing
debar debarment
sing song
investigate investigating
induct induction
continue continuation
fix fixture
enter entrance
radiate radiation
edit editing
ripen ripening
empty emptying
govern governance
remarry remarriage
tolerate tolerance
control controller
elect electorate
cross crossing
taper tapering
baptise baptism
knock knocker
mystify mystification
analyze analyzer
recuse recusal
manage management
indulge indulging
define defining
boil boiler
depart departure
function functionary
landscape landscaping
steal stealing
decompose decomposition
rejoice rejoicing
waver wavering
truck trucking
hedge hedger
tape taping
pervert perversion
subscribe subscription
glide gliding
entertain entertainer
spray spraying
yearn yearning
designate designation
index indexing
trail trailing
refute refutation
reject rejection
receive recipient
descend descent
achieve achievement
avow avowal
wrestle wrestler
transmit transmitting
determine determination
enlarge enlargement
attend attention
apprehend apprehension
fail failure
converge converging
question questioning
preserve preservation
flame flaming
dissolve dissolving
grind grinding
multiply multiplication
classify class
intersect intersection
retract retraction
deflate deflator
shoot shooter
consign consignee
swing swinging
wave waver
poison poisoning
read reader
tell tale
manufacture manufacturer
bank banker
sympathize sympathy
spur spurring
attach attachment
compose composure
confine confinement
stir stirring
bombard bombardment
rescind rescission
dawn dawning
promote promotion
stock stocking
sound sounding
founder foundering
adventure adventurer
bellow bellowing
commit committal
phrase phrasing
commit commission
liquify liquid
infiltrate infiltration
excavate excavation
think thinker
crush crushing
constitute constituent
hang hanger
shirk shirking
revalue revaluation
err error
negotiate negotiation
let lessor
snap snapper
occupy occupant
curl curling
condense condensation
enjoin enjoining
scream screamer
fabricate fabricator
assess assessment
remit remittance
extinguish extinguisher
concentrate concentration
divide divider
finish finisher
defuse defusing
liberalize liberalization
optimize optimization
purify purification
integrate integrating
delude delusion
mug mugger
sever severing
tan tannery
knock knocking
shorten shortening
survey surveyor
repossess repossession
beep beeper
validate validation
salve salvation
consult consultation
reserve reservation
harass harassment
sheet sheeting
organize organizer
part parting
nominate nomination
disappoint disappointment
auction auctioneer
encode encoding
conform conformance
season seasoning
discontinue discontinuation
stew stewing
group grouping
resemble resemblance
kill killer
ready readying
portray portraiture
administrate administrator
annul annulment
discount discounter
forecast forecasting
waterproof waterproofing
accuse accusation
devise devising
select selector
deconstruct deconstruction
determine determinant
solve solver
pale pallor
detract detractor
mystify puzzle
conspire conspiracy
scheme schemer
admit admission
falsify falsification
coerce coercion
inflict infliction
stonewall stonewalling
diminish diminution
word wording
green greenery
sift sieve
assert assertion
coin coinage
transplant transplantation
misrepresent misrepresentation
water watering
accommodate accommodation
clot clotting
brace bracing
foster fostering
instruct instructor
model modeling
wish wishing
get getting
debate debater
squat squatter
proliferate proliferation
rebury reburial
segregate segregation
interpret interpreting
object objection
clown clowning
absorb absorber
wreck wrecker
counsel counselor
eject ejection
cooperate cooperation
organize organization
abate abatement
mobilize mobilization
mug mugging
fuel fueling
fall faller
cool cooling
suffice sufficiency
relegate relegating
wound wounding
suppress suppression
pension pensioner
lay layer
bind binding
extract extraction
second secondment
rehearse rehearsal
commute commutation
emigrate emigration
bathe bathing
consume consumer
avert aversion
replace replacing
register registration
eliminate elimination
include inclusion
sedate sedation
submerge submersion
begin beginning
name naming
inhibit inhibitor
hesitate hesitation
splash splashing
triple tripling
repeat repetition
scrub scrubber
evolve evolution
intrude intruder
impound impounding
defy defiance
implement implementation
process processing
tighten tightening
disfigure disfigurement
terminate finish
help helping
subsist subsistence
oxygenate oxygen
smack smacking
oscillate oscillation
clamor clamoring
procure procurer
encrypt encryption
sour souring
sediment sedimentation
turn turner
inspect inspection
abstract abstraction
tie tier
expend expending
mask masking
cleave cleft
page paging
raze razing
insist insistence
invert inverter
harmonize harmony
recruit recruitment
use usage
rule ruling
solicit solicitor
revoke revocation
vibrate vibration
precede precedent
procure procurement
prospect prospector
rebut rebuttal
suffer suffering
purchase purchasing
bake baking
roll roller
orchestrate orchestrator
exert exertion
disconnect disconnection
inquire inquiry
go going
boat boating
furnish furniture
compel compulsion
dominate dominance
magnify magnitude
entertain entertainment
redevelop redevelopment
disseminate dissemination
professionalize professionalization
congregate congregation
compute computer
train training
migrate migrant
rope roping
connect connexion
skip colloquialism
testify testimony
transfer transferor
nurse nursing
grin grinning
compose composition
detonate detonation
rent rental
frustrate frustration
repress repression
miniaturize miniature
combat combatant
monopolize monopolization
distribute distribution
obligate obligation
devote devotee
wire wiring
conceive conception
extract extractor
devalue devaluation
sprinkle sprinkler
shut shutting
call caller
immerse immersion
eradicate eradication
revolve roll
depreciate depreciation
publish publisher
freight freighter
cricket cricketer
combine combining
encroach encroachment
rent renter
wet wetting
assimilate assimilation
care caring
measure measuring
hit hitting
battle battler
load loading
correlate correlation
dismiss dismissal
regulate regulator
beat bafflement
slice slicing
impose imposition
animate animator
entice enticement
snorkel snorkeling
incur incurring
bear bearing
punish punishment
incubate incubator
oust ousting
slate slating
import importing
demolish demolition
prosecute prosecution
freelance freelancer
credit creditor
feign feigning
squat squatting
orbit orbiter
dream dreamer
degenerate degeneration
dispense dispenser
pilfer pilferage
chastise chastisement
whisper whispering
possess possession
correspond correspondent
electrify electricity
dodge dodger
cleanse cleansing
raft rafter
lament lamentation
commute commuting
differentiate differentiation
daub daubing
shed shedding
disengage disengagement
scan scanning
jest jester
deport deportment
justify justification
shore shoring
ascend ascendancy
grow growing
dispose disposition
drill drilling
mine miner
cycle cycling
germinate germination
jut jutting
retrieve retrieval
overheat overheating
propel propellant
date dating
salve salvage
engineer engineering
pose poser
affiliate affiliation
meet meeting
clip clipping
pare paring
kiss kissing
earn earner
frighten frightening
run runner
draw drawing
sink sinking
beatify beatification
bump bumper
kick kicker
vacate vacation
emphasize emphasizing
deter deterrent
agree agreement
page pager
dock dockage
decode decoding
serve server
transmit transmitter
torment tormentor
work worker
fluctuate fluctuation
communicate communication
hook hooker
resume resumption
abdicate abdication
ventilate ventilator
coagulate coagulation
solve solvent
surf surfing
dock docking
institute institution
execute executing
maltreat maltreatment
violate violator
weigh weighing
tempt temptation
imprison imprisonment
sift sifting
conjure conjurer
urge urgency
spoil spoilage
immigrate immigration
devolve devolution
offend offense
sensitize sensitizer
forestall forestalling
finger fingering
sing singer
capitulate capitulation
walk walker
acquire acquiring
canal canalization
edge edging
impede impediment
study student
attribute attribution
appraise appraiser
prowl prowler
infect infection
follow following
acclimate climate
box boxing
hack hacker
pollinate pollen
split splitter
wander wanderer
emit emission
feel feelings
measure measurement
sight sighting
stretch stretching
tend tending
reach reaching
yawn yawning
misstate misstatement
growl growling
post poster
modernize modernization
compile compiling
evaluate value
portray portraitist
sputter sputtering
recover recovery
officiate office
mark marker
polish polishing
fly flying
equate equating
skateboard skateboarding
sew sewing
command commandment
differentiate differentiator
confer conference
tamper tampering
sling slinging
visualize visualization
space spacing
vary variance
confuse confusion
falsify falsifying
cook cooker
acquire acquisition
void voiding
irritate irritation
wring wringer
sleep sleeper
copy copying
lug luggage
adhere adhesion
bleed bleeder
exonerate exoneration
engrave gravure
reunite reunion
disbelieve disbeliever
extend extension
annoy annoyance
clap clapping
burglarize burglary
paint painting
refine refinery
comb combing
hijack hijacker
procreate procreation
tend tendency
cool cooler
assign assignation
redistribute redistribution
patronize patron
coax coaxing
vaccinate vaccinating
drive drift
congregate congregating
clean cleaner
sense sensing
poke poker
coincide coincidence
film filming
train trainee
wear wearing
underwrite underwriter
coat coating
jog jogging
referee refereeing
play player
stripe striping
inhale inhalation
chew chewing
insure insurer
itch itching
integrate integration
center centering
imagine imagination
shear shears
fruit fruition
transfer transferral
lean leaner
support supporter
pipe piper
behold beholder
abstain abstinence
focus focussing
seep seepage
abet abettor
legislate legislature
file filer
resist resistance
contain containment
come coming
retire retirement
crystallize crystal
dispossess dispossession
filter filtration
crawl crawler
shave shaver
expend expenditure
dispense dispensation
service servicing
code coding
score scoring
paint painter
import importer
wait waiting
explain explanation
pass passing
translate translation
solo soloist
terrorize terror
arbitrate arbiter
renovate renovation
humiliate humiliation
ingest ingestion
subsidize subsidy
calibrate caliber
travel traveling
lodge lodging
attain attainment
abound abundance
defend defendant
empower empowerment
rob robbery
employ employee
hold holding
format formatting
mediate mediator
collect collecting
smooth smoother
solidify solid
immobilize immobilizing
summon summoning
plaster plastering
sit sitting
omit omission
urinate urination
happen happening
climb climber
enclose enclosing
exercise exercising
survey surveying
crystalize crystal
loathe loathing
sue suit
spell spelling
shave shaving
prime primer
depict depicting
assassinate assassin
unite union
acclaim acclamation
balloon balloonist
ape aper
recur recurrence
revel revelry
intoxicate intoxicant
rebel rebellion
interview interviewee
violate violation
infuriate fury
readmit readmission
graft grafting
precipitate precipitation
mutate mutation
flirt flirtation
incorporate incorporation
ease easement
trump trumping
kick kicking
pitch pitching
flip flipper
notify notice
monitor monitoring
attend attendance
write writing
devaluate devaluation
frame framing
disperse dispersion
officiate officiating
vary variate
trounce trouncing
govern governing
multiply multiplier
rebuild rebuilding
redefine redefinition
convey conveying
park parking
suppress suppressor
administer administration
tone toner
sanctify saint
flatter flattery
realize realization
dissolve dissolution
dismantle dismantlement
estimate estimator
scoot scooter
eventuate event
find finding
sterilize sterilization
heat heater
overvalue overvaluation
reappraise reappraisal
depict depiction
fortify fort
assemble assemblage
adapt adaption
merge merger
long longer
process processor
authorize authorization
steer steerage
pertain pertinence
carbonate carbon
allocate allocation
tutor tutelage
peddle peddling
export exporter
automate automation
strain straining
compose composer
chatter chattering
sail sailing
criminalize criminal
subsidize subsidization
close closure
reexamine reexamination
dilate dilation
suck suction
scoff scoffing
flood flooding
typify type
ravage ravaging
abet abetment
blend blender
drug drugging
propel propellor
arrest arrester
stifle stifling
lease lessee
forage foraging
revive revival
jeopardize jeopardy
refer reference
reincarnate reincarnation
diagnose diagnosing
devote devotion
stoke stoker
imitate imitator
tell teller
repulse drive
surround surroundings
brew brewery
exhibit exhibitor
zip zipper
terrify terror
harvest harvester
grow grower
conciliate conciliation
parcel parceling
railroad railroading
dissect dissection
rush rushing
cast caster
tap tapping
rectify rectification
persuade persuasion
transit transition
recreate recreation
survive survival
convey conveyer
swindle swindler
moisten moisture
test tester
chase chaser
supervise supervising
involve involvement
repent repentance
cow coward
dispose disposal
induce inducement
construct construction
foil foiling
cuddle cuddling
strengthen strengthening
mistreat mistreatment
oppose opponent
ship shipping
bankrupt bankruptcy
explode explosion
merchandise merchandiser
fly flier
dance dancing
reinforce reinforcement
preserve preserver
plate plating
interdict interdiction
win winnings
stand stance
optimize optimum
improve improvement
portray portrait
misinterpret misinterpretation
twitch twitching
intimidate intimidation
misunderstand misunderstanding
carpenter carpentry
mystify puzzlement
settle settling
pollute polluter
examine examiner
accrue accrual
cobble cobbling
bleed bleeding
drive driver
bromate bromine
machine machinist
rid riddance
deride derision
follow follower
cover reporting
propose proposal
hoax hoaxer
garden gardening
condition conditioning
tame tamer
reforest reforestation
decide deciding
recite recital
signify sign
press pressing
write writer
offend offender
walk walking
tune tuner
smoke smoker
invert inversion
crackle crackling
begin beginner
hatch hatchery
quantify quantification
qualify qualification
retail retailing
stalk stalking
rally rallying
reckon reckoning
profess profession
align alignment
stabilize stabilization
break breakage
sparkle sparkling
please pleaser
amaze amazement
chant chanting
gather gathering
erect erecting
criticize critic
cure curing
locate locator
encapsulate encapsulation
camp camping
color coloring
protest protester
tense tension
rant ranting
demonstrate demonstrator
yield yielding
translate translator
indulge indulgence
skim skimming
evaluate evaluation
announce announcer
arbitrate arbitrator
adapt adapter
thrust thruster
exhaust depletion
scrape scraping
forecast forecaster
wrap wrapping
operate operator
amalgamate amalgam
sort sorting
bottle bottler
cluster clustering
accord accordance
occupy occupier
reclaim reclamation
pirate piracy
restore restorer
shout shouting
advertise advertising
parent parentage
recant recantation
burn burner
ride rider
prevaricate prevarication
separate discrimination
augment augmentation
wear wearer
snort snorting
erupt eruption
pick picker
forest forestry
develop developer
extinguish extinguishing
machine machinery
dignify dignity
normalize normalization
apportion apportionment
row rowing
comprehend comprehension
dispatch dispatcher
dictate dictation
climb climbing
frost frosting
obsess obsession
delete deletion
package packaging
enrich enrichment
speak speaker
disagree disagreement
retard retardation
personify persona
revert reversion
bear bearer
pursue pursuance
achieve achiever
substantiate substantiation
resent resentment
confront confrontation
unite uniting
fence fencer
farm farmer
jab jabbing
suffer sufferer
obstruct obstruction
cry crying
equate equator
liberate liberator
liquefy liquefaction
flute fluting
mend mending
wheel wheeling
instruct instruction
readjust readjustment
haul haulage
disrupt disruption
weep weeping
fascinate fascination
loosen loosening
earn earnings
disinfect disinfection
concur concurrence
disapprove disapproval
shrink shrinking
factor factoring
accept acceptance
goad goading
mold molding
move motion
file filing
propose proposition
streak streaker
ventilate vent
measure measurer
fold folder
further furtherance
discuss discussion
standardize standard
punt punter
shut shutter
taunt taunting
desert deserter
dilute dilution
tax taxation
carbonate carbonation
materialize materialization
configure configuration
legitimate legitimacy
cause causation
back backer
crow crowing
concord concurrence
thaw thawing
silence silencer
interpret interpreter
relieve reliever
suck sucking
quack quackery
absolve absolution
found founding
raid raider
cleave cleaver
deregulate deregulation
exaggerate exaggeration
circumcise circumcision
hook hooking
limit limiter
calculate calculation
persuade persuader
bound boundary
lose loser
beat beater
consolidate consolidation
enlist enlisting
tick ticking
twist twisting
regress regression
partition partitioning
speed speeding
facilitate facilitation
provide provision
originate origin
unionize unionization
stabilize stabilizer
install installment
impeach impeachment
vouch voucher
direct place
close closing
confederate confederation
relapse relapsing
consume consumption
saturate saturation
shatter shattering
intensify intensification
calibrate calibration
scour scouring
furnish furnishing
supply supplying
imitate imitation
toast toasting
compose composing
declare declaration
start starter
douse dousing
absent absentee
conceive concept
circulate circle
quarter quarters
signify significance
stop stoppage
track tracking
whack whacking
guzzle guzzling
induce induction
garden gardener
betray betrayal
sign signing
investigate investigation
roast roasting
open opener
divert diversion
kidnap kidnapper
prevent prevention
submerge submerging
chop chopper
recede recession
fence fencing
present presentation
float flotation
recuperate recuperation
take taking
impair impairment
trust trustee
stone stoning
pollute pollutant
ache aching
strangle strangling
wreck wrecking
deceive deception
yell yelling
proceed procession
lynch lynching
inherit inheritance
pop popping
demolish demolishing
sniff sniffer
feather feathering
cover coverage
mix mixer
scrutinize scrutiny
cruise cruiser
subcontract subcontractor
mingle mingling
replenish replenishment
count counting
regulate regulating
portray portrayal
dampen dampener
tackle tackler
torture torturing
synchronize synchronizing
intimate intimation
know knowing
vary variant
abduct abduction
flee flight
loot looting
