TRAINING
disinvest undress
remember remembering
possess possession
compress compressing
bat batter
repair repairer
advise advisor
sum summation
ratify ratification
number numbering
ferry ferrying
reallocate reallocation
spoil spoiler
erode eroding
ring ringer
monetize monetization
act acting
stack stacker
glamorize glamorization
reduce reducing
research researcher
highlight highlighting
snuggle snuggling
motivate motivation
cartoon cartoonist
initiate initiation
deflect deflection
excavate excavator
cancel cancellation
remember remembrance
sign signature
wade wading
move movement
reevaluate reevaluation
temper tempering
chicane chicanery
jerk jerking
enter entrant
arrange arrangement
link linkage
bankrupt bankruptcy
bumble bumbler
complain complaint
allow allowance
play playing
recuperate recuperation
overstate overstatement
solicit solicitation
substantiate substantiation
light lighter
dry drier
disembark disembarkation
pad padding
port porter
dream dreaming
describe description
tile tiling
pilfer pilferage
breed breeder
thin thinner
survive survival
skate skating
roll rolling
live living
shuffle shuffling
disinvest disinvestment
acclimatise climate
liquidate liquidator
characterize characterization
elaborate elaboration
subsidize subsidy
flower flowering
coast coaster
head heading
fork forking
circumnavigate circumnavigation
constrict constrictor
cycle cyclist
court courting
culminate culmination
assess assessor
account accounting
lubricate lubrication
resign resignation
originate origination
point pointer
ring ringing
grow growth
strike striker
cup cupping
repel repellent
question questioner
commemorate commemoration
tremble trembling
rediscover rediscovery
peruse perusal
squat squatter
fire firing
block blocker
cohabit cohabitation
pick picker
inform informant
photocopy photocopier
decorate decor
buy buying
defoliate defoliant
scream screaming
arraign arraignment
incinerate incineration
idle idler
smuggle smuggler
install installment
exist existence
endorse endorsement
tune tuning
ruminate ruminant
offer offering
feast feasting
foreclose foreclosure
substitute substituting
strain strainer
smooth smoother
ignite ignition
salt salting
evolve evolution
finalize finalization
amputate amputation
block blocking
cook cookery
signal signaling
codify code
please pleaser
circumvent circumvention
diet dietary
invite invitation
despise despising
connect connector
inter interment
watch watching
preach preaching
soften softening
orbit orbiter
enhance enhancer
scaffold scaffolding
bound bounder
theorise theory
throb throbbing
redeploy redeployment
lease lessee
notify notification
aggregate aggregator
spot spotting
clean cleaning
expose exposure
seize seizure
forge forger
prefer preference
dwell dwelling
jostle jostling
track tracker
solve solving
itemize item
improve improver
inflate inflation
categorize category
instrument instrumentation
ostracise ostracism
coach coaching
neutralize neutralization
admonish admonition
diagnose diagnosis
gossip gossiping
consult consultation
hurry hurrying
rear rearing
find finder
ferment fermenting
snip snipping
underestimate underestimation
screen screener
scale scaling
ski skier
puff puffing
advertise advertisement
classify classification
preoccupy preoccupation
fuse fusion
argue argumentation
suspend suspender
list listing
activate activation
cite citation
stamp stamper
conclude conclusion
prevail prevalence
prod prodding
clear clearing
perpetuate perpetuation
interpret interpretation
howl howler
overpay overpayment
dig digger
derogate derogation
simplify simplification
jam jamming
intrude intrusion
repeat repeating
protect protector
suffocate suffocation
parachute parachuting
motor motoring
compose component
doubt doubter
depict picture
deify deity
appear appearance
sin sinner
sing singer
mock mockery
stain stainer
fabricate fabrication
aspire aspirant
inquire inquiry
reunify reunion
grapple grappling
haggle haggling
cover reportage
celebrate celebrant
choke choker
coincide coincidence
overlap overlapping
toboggan tobogganing
digest digestion
originate origin
discover discovery
long longing
abduct abductor
seduce seduction
fasten fastening
require requirement
commune communion
slip slippage
unify unit
bet better
subdivide subdivision
oppress oppression
persist persistency
expire expiration
act actor
win winner
stripe striping
miniaturize miniaturization
expound expansion
tickle tickling
end ending
ranch rancher
legislate legislator
exhume exhumation
advise adviser
procrastinate procrastination
elect elector
reason reasoning
nullify nullification
subjugate subjugation
pretend pretense
fold folding
collect collection
manifest manifestation
head header
defect defection
manipulate manipulator
conciliate conciliator
dump dumping
eavesdrop eavesdropper
propagate propagation
freshen freshener
design designing
parole parolee
conceal concealing
traffic trafficker
curtail curtailment
oust ouster
condense condensation
evacuate evacuation
float floating
console consolation
dissipate dissipation
counsel counseling
quiver quivering
hum humming
style stylist
vary variate
warn warning
commit commission
fortify fortification
invent inventor
merchandise merchandising
transpose transposition
gather gatherer
pacify peace
trick trickery
facilitate facilitation
think thinking
stipulate stipulation
build builder
swell swelling
index indexation
peruse perusing
disband disbandment
fly flyer
worry worrying
dine diner
legislate legislation
landscape landscaping
dispose disposition
reconstruct reconstruction
order ordering
miscalculate miscalculation
specialize specialization
buff buffer
follow following
pray prayer
insure insurance
underperform underperformer
counteract counteraction
disintegrate disintegration
establish establishment
send sender
gravitate gravitation
formulate formulation
fill filling
strike striking
maintain maintenance
contend contention
perpetrate perpetrator
shred shredder
store storage
copy copier
jeer jeering
defect defector
rotate rotation
lever leverage
collaborate collaborator
dilate dilatation
perpetrate perpetration
simulate simulation
stitch stitcher
manipulate manipulation
govern governor
disown disowning
remain remnant
space spacing
clarify clarification
ruin ruining
back backer
complicate complication
abstain abstention
graduate graduation
foil foiling
hunt hunter
reconsider reconsideration
forge forging
deduce deduction
claim claimant
demote demotion
repute reputation
appeal appellant
innovate innovation
revert reverting
compress compression
travel traveler
revolt revolution
serve servant
define definition
correct correction
bid bidder
manage manager
patent patentee
consign consignment
compare comparing
utilize utility
select selector
deposit depositor
observe observer
deprecate deprecation
farm farming
internationalize internationalization
moderate moderation
assign assignation
proceed proceeding
reproduce reproduction
incinerate incinerator
congratulate congratulation
gloat gloating
magnify magnifier
forward forwarding
wrangle wrangling
pipe piper
stun stunner
moderate moderator
flavor flavoring
clip clipper
seize seizing
supplant supplanting
taunt taunting
arouse arousal
convoke convocation
permit permission
bury burial
spin spinner
give giver
direct director
remind reminder
groom grooming
rattle rattling
design designer
ebb ebbing
listen listener
promulgate promulgation
decompress decompression
gamble gambling
invoke invocation
refresh refresher
intervene intervention
preside president
differentiate difference
rave raving
exaggerate exaggeration
descend descent
evaporate vapor
phrase phrasing
probate probation
canton cantonment
irrigate irrigation
remain continuation
defoliate defoliation
clamor clamoring
hijack hijacking
harmonize harmony
whip whipping
untangle untangling
hurdle hurdler
bind bindery
vanish vanishing
impersonate persona
reshuffle reshuffling
transport transporter
reinsure reinsurance
acquiesce acquiescence
will willing
gyrate gyration
erect erection
punctuate punctuation
pace pacing
indent indenture
thin thinning
mitigate mitigation
roar roaring
commission commissioner
seal sealer
assign assignment
refer referral
solidify solidifying
succeed successor
suspect suspicion
devastate devastation
convey conveyance
wink winking
whistle whistling
quarter quarters
hike hiker
capitalize capitalization
nest nester
command commandant
count counter
fry frying
provoke provocation
recollect recollection
wean weaning
promote promoter
synthesize synthesizer
consist consistence
withhold withholding
earn earner
muffle muffler
calculate calculus
integrate integrating
motivate motivator
tip tipper
deal dealing
mix mixture
precipitate precipitator
renew renewal
propose proposer
rib ribbing
summarize summary
course coursing
anticipate foreboding
document documentation
brawl brawler
illustrate illustration
plan planning
spread spreading
transship transshipment
obliterate obliteration
repel repellant
dangle dangling
see seer
discriminate discrimination
murder murderer
tour tourist
separate separation
reside residency
amalgamate amalgam
lodge lodgings
delineate delineation
mark marking
machine machinist
train trainer
wilt wilting
transport transportation
tail tailing
breathe breathing
castrate castration
appraise appraisal
spot spotter
skate skater
concede concession
swim swimming
spy spying
coordinate coordinator
issue issuer
astonish astonishment
send sending
prostitute prostitution
conserve conservation
worsen worsening
install installation
pry prying
pronounce pronouncement
insert insertion
consider consideration
desecrate desecration
dirty dirtying
sparkle sparkler
save savings
wither withering
talk talker
volunteer voluntary
garden gardener
contract contraction
recycle recycling
arrange arranger
howl howling
bite biter
retain retention
give giving
tap tapper
rate rating
conjure conjuring
splinter splintering
secede secession
encode encoding
hang hanger
close closer
generate generation
dominate domination
lower lowering
fall accrual
distract distraction
negate negation
fit fitting
occupy occupation
mix mixing
spin spinning
case casing
state statement
lodge lodger
converse conversation
affirm affirmation
relocate relocation
huff huffing
steep steeper
transmit transmitter
swerve swerving
breed breeding
convene convener
widen widening
mystify mystification
hurdle hurdling
survive survivor
tease teaser
render rendition
assist assistant
pair pairing
paper papering
whir whirring
renounce renunciation
sting stinger
radiate radiator
ripple rippling
populate population
judge judiciary
accompany accompaniment
sew sewer
swear swearing
cool cooler
beautify beautification
standardize standardization
disappear disappearing
debar debarment
sing song
plow plowing
induct induction
kidnap kidnapping
discontent discontentment
enter entrance
sparkle sparkling
ration rationing
ripen ripening
empty emptying
govern governance
remarry remarriage
tolerate tolerance
control controller
ranch ranching
cross crossing
taper tapering
baptise baptism
build building
loot looter
confirm confirmation
recuse recusal
manage management
indulge indulging
evaporate evaporation
boil boiler
bag bagging
function functionary
lighter lighterage
employ employment
dress dresser
rejoice rejoicing
defame defamation
mutiny mutineer
hedge hedger
tape taping
pervert perversion
reappraise reappraisal
glide gliding
pitch pitching
spray spraying
conform conformance
designate designation
index indexing
trail trailing
refute refutation
reject rejection
receive recipient
roof roofing
achieve achievement
avow avowal
portend portent
transmit transmitting
determine determination
separate separator
kick kicking
disbar disbarment
fail failure
relieve reliever
question questioning
preserve preservation
flame flaming
dissolve dissolving
grind grinding
multiply multiplication
classify class
adjudicate adjudicator
retract retraction
deflate deflator
shoot shooter
consign consignee
swing swinging
wave waver
poison poisoning
read reader
mop mopping
manufacture manufacturer
bank banker
sympathize sympathy
spur spurring
whirl whirling
heave heaver
confine confinement
stir stirring
bombard bombardment
rescind rescission
dawn dawning
promote promotion
intimidate intimidation
sound sounding
founder foundering
limit limitation
bellow bellowing
commit committal
disapprove disapproval
reform reformer
liquify liquid
poke poking
excavate excavation
kindle kindling
deteriorate deterioration
pigment pigmentation
glorify glorification
shirk shirking
investigate investigating
cleave cleavage
negotiate negotiation
let lessor
snap snapper
equate equating
ransack ransacking
judge judgment
enjoin enjoining
rehearse rehearsal
retrench retrenchment
assess assessment
remit remittance
wound wounding
concentrate concentration
accelerate acceleration
finish finisher
defuse defusing
liberalize liberalization
optimize optimization
purify purification
irritate irritant
edit editing
mug mugger
sever severing
yawn yawner
knock knocking
yearn yearning
survey surveyor
cleave cleft
beep beeper
log logging
revise revision
bounce bouncer
reserve reservation
harass harassment
sheet sheeting
assassinate assassin
part parting
nominate nomination
disappoint disappointment
bloom bloomer
explore explorer
fight fighting
season seasoning
discontinue discontinuation
collide collision
launch launcher
resemble resemblance
kill killer
ready readying
portray portraiture
administrate administrator
annul annulment
discount discounter
undress strip
waterproof waterproofing
accuse accusation
borrow borrower
develop developing
visit visiting
determine determinant
solve solver
pale pallor
detract detractor
mystify puzzle
register registry
take taker
recite recitation
compact compaction
coerce coercion
inflict infliction
stonewall stonewalling
diminish diminution
revolutionize revolution
green greenery
sift sieve
assert assertion
coin coinage
despair desperate
misrepresent misrepresentation
water watering
accommodate accommodation
coexist coexistence
move motion
foster fostering
instruct instructor
screen screening
wish wishing
get getting
debate debater
schedule scheduling
proliferate proliferation
retrospect retrospection
segregate segregation
exchange exchanger
object objection
crave craving
garden gardening
profane profanation
arrive arrival
eject ejection
cooperate cooperation
organize organization
falter faltering
aggravate aggravation
mug mugging
fuel fueling
fall faller
readjust readjustment
suffice sufficiency
relegate relegating
insulate insulator
suppress suppression
pension pensioner
refine refiner
vindicate vindication
truck trucker
encrypt encryption
time timer
commute commutation
emigrate emigration
diversify diversity
consume consumer
grade grading
replace replacing
wet wetter
eliminate elimination
include inclusion
sedate sedation
push pusher
reaffirm reaffirmation
name naming
inhibit inhibitor
hesitate hesitation
fix fixture
triple tripling
repeat repetition
scrub scrubber
judge judging
intrude intruder
impound impounding
defy defiance
implement implementation
process processing
tighten tightening
disfigure disfigurement
condense condensate
help helping
subsist subsistence
oxygenate oxygen
dispute disputation
oscillate oscillation
calibrate calibration
procure procurer
value valuer
rumble rumbling
sediment sedimentation
turn turner
pant panting
abstract abstraction
haul hauling
fester festering
mask masking
amplify amplifier
page paging
extract extraction
insist insistence
invert inverter
suggest suggestion
entrench entrenchment
use usage
rule ruling
smuggle smuggling
revoke revocation
vibrate vibration
heal healing
procure procurement
displease displeasure
rebut rebuttal
soar soaring
purchase purchasing
bake baking
roll roller
orchestrate orchestrator
entertain entertainer
disconnect disconnection
locate location
go going
boat boating
furnish furniture
compel compulsion
dominate dominance
magnify magnitude
entertain entertainment
redevelop redevelopment
disseminate dissemination
professionalize professionalization
congregate congregation
compute computer
train training
migrate migrant
detain detainee
relive reliving
skip colloquialism
testify testimony
transfer transferor
nurse nursing
grin grinning
compose composition
detonate detonation
rent rental
access accession
repress repression
miniaturize miniature
combat combatant
monopolize monopolization
pun punning
obligate obligation
counsel counselor
buy buyer
conceive conception
battle battler
devalue devaluation
audit auditor
shut shutting
call caller
immerse immersion
eradicate eradication
revolve roll
depreciate depreciation
publish publisher
limit limiter
cricket cricketer
absent absence
encroach encroachment
rent renter
wet wetting
assimilate assimilation
care caring
measure measuring
deregulate deregulating
shake shaker
load loading
correlate correlation
dismiss dismissal
regulate regulator
connect connexion
slice slicing
crack cracker
embrace embracing
entice enticement
sniff sniffer
incur incurring
bear bearing
punish punishment
incubate incubator
cleave cleaver
slate slating
import importing
demolish demolition
prosecute prosecution
freelance freelancer
mold molding
feign feigning
squat squatting
grumble grumbling
dream dreamer
degenerate degeneration
dispense dispenser
taste tasting
chastise chastisement
whisper whispering
propel propeller
correspond correspondent
electrify electricity
dodge dodger
occupy occupancy
urinate urine
lament lamentation
commute commuting
raise raising
daub daubing
shed shedding
disengage disengagement
connect connection
jest jester
deport deportment
justify justification
shore shoring
ascend ascendancy
grow growing
rush rushing
drill drilling
mine miner
subside subsidence
germinate germination
jut jutting
retrieve retrieval
overheat overheating
propel propellant
date dating
resolve resolving
decorate decoration
pose poser
affiliate affiliation
meet meeting
clip clipping
pare paring
kiss kissing
toy toying
frighten frightening
scheme schemer
draw drawing
sink sinking
beatify beatification
bump bumper
kick kicker
vacate vacation
emphasize emphasizing
deter deterrent
agree agreement
page pager
precede precedent
incur incursion
serve server
addict addiction
torment tormentor
work worker
fluctuate fluctuation
communicate communication
hook hooker
resume resumption
abdicate abdication
ventilate ventilator
coagulate coagulation
solve solvent
surf surfing
solder soldering
institute institution
execute executing
decompose decomposition
tube tubing
weigh weighing
define defining
lift lifter
sift sifting
conjure conjurer
urge urgency
spoil spoilage
immigrate immigration
trail trailer
offend offense
sensitize sensitizer
wait waiting
finger fingering
reveal revealing
capitulate capitulation
walk walker
contradict contradiction
err error
edge edging
impede impediment
harden hardening
attribute attribution
appraise appraiser
prowl prowler
plant planting
elevate elevator
expel expelling
score scoring
hack hacker
pollinate pollen
split splitter
board boarder
relate relation
feel feelings
measure measurement
dominate dominion
stretch stretching
tend tending
inspire inspiration
yawn yawning
misstate misstatement
growl growling
bromate bromine
bowl bowler
compile compiling
evaluate value
swab swabbing
sputter sputtering
recover recovery
officiate office
mark marker
polish polishing
fly flying
post posting
skateboard skateboarding
sew sewing
command commandment
differentiate differentiator
confer conference
tamper tampering
sling slinging
visualize visualization
mesh meshing
fence fencer
confuse confusion
post postage
cook cooker
acquire acquisition
void voiding
vibrate vibrancy
wring wringer
detect detection
copy copying
lug luggage
divide divider
bleed bleeder
exonerate exoneration
engrave gravure
reunite reunion
disbelieve disbeliever
extend extension
annoy annoyance
contemplate contemplation
photograph photographer
paint painting
refine refinery
comb combing
hijack hijacker
oust ousting
imprison imprisonment
subvert subversion
gut gutter
redistribute redistribution
digitize digit
plot plotter
vaccinate vaccinating
drive drift
congregate congregating
escape escapist
globalize globalization
provide provision
analyze analyzer
film filming
train trainee
wear wearing
underwrite underwriter
coat coating
jog jogging
referee refereeing
enjoin injunction
jog jogger
inhale inhalation
chew chewing
initiate initiator
itch itching
integrate integration
attend attention
imagine imagination
shear shears
fruit fruition
transfer transferral
juggle juggling
kneel kneeling
coagulate coagulant
suck sucking
discontinue discontinuance
focus focussing
bathe bathing
compete competitor
legislate legislature
file filer
resist resistance
shoot shooting
come coming
forbid forbidding
crystallize crystal
dispossess dispossession
filter filtration
crawl crawler
wage engagement
expend expenditure
poach poaching
service servicing
code coding
prompt prompting
paint painter
import importer
attract attraction
reelect reelection
explain explanation
translate translation
solo soloist
terrorize terror
rinse rinsing
renovate renovation
seep seepage
ingest ingestion
shave shaver
calibrate caliber
adventure adventurer
lodge lodging
attain attainment
abound abundance
defend defendant
empower empowerment
rob robbery
accumulate accumulation
hold holding
format formatting
mediate mediator
straggle straggler
fulfill fulfillment
solidify solid
espouse espousal
forsake forsaking
declassify declassification
sit sitting
omit omission
urinate urination
happen happening
climb climber
enclose enclosing
proclaim proclamation
ache aching
authorize authorization
loathe loathing
sue suit
spell spelling
shave shaving
prime primer
depict depicting
submerge submersion
unite union
acclaim acclamation
balloon balloonist
ape aper
attach attachment
devise devising
intoxicate intoxicant
rebel rebellion
interview interviewee
violate violation
entitle entitlement
readmit readmission
graft grafting
precipitate precipitation
mutate mutation
flirt flirtation
incorporate incorporation
ease easement
trump trumping
impute imputation
rustle rustling
flip flipper
bid bidding
assign assignee
attend attendance
write writing
devaluate devaluation
frame framing
disperse dispersion
officiate officiating
steamroll steamroller
trounce trouncing
govern governing
multiply multiplier
handle handler
redefine redefinition
convey conveying
park parking
extort extortion
administer administration
tone toner
sanctify saint
quantify quantity
realize realization
deliberate deliberation
dismantle dismantlement
estimate estimator
exemplify example
eventuate event
find finding
sterilize sterilization
float floatation
defile defilement
pollute pollutant
depict depiction
fortify fort
assemble assemblage
adapt adaption
tick ticking
long longer
divorce divorcee
abstain abstinent
elevate elevation
pertain pertinence
hang hanging
allocate allocation
tutor tutelage
peddle peddling
export exporter
automate automation
strain straining
plumb plumbing
chatter chattering
sail sailing
rope roping
subsidize subsidization
close closure
reexamine reexamination
depress depressant
suck suction
scoff scoffing
flood flooding
typify type
ravage ravaging
land lander
cover reporting
slack slacking
propel propellor
arrest arrester
master mastery
litigate litigant
tan tannery
deviate deviant
jeopardize jeopardy
refer reference
reincarnate reincarnation
diagnose diagnosing
devote devotion
stoke stoker
imitate imitator
tell teller
repulse drive
surround surroundings
energize energy
exhibit exhibitor
zip zipper
terrify terror
harvest harvester
grow grower
lie lying
parcel parceling
railroad railroading
dissect dissection
make maker
cast caster
tap tapping
rectify rectification
immobilize immobilizing
transit transition
recreate recreation
effectuate effect
rub rubbing
swindle swindler
moisten moisture
test tester
verify verification
supervise supervising
involve involvement
repent repentance
kill killing
dispose disposal
frisk frisking
construct construction
perspire perspiration
cuddle cuddling
strengthen strengthening
mistreat mistreatment
oppose opponent
disarm disarming
debunk debunking
explode explosion
merchandise merchandiser
opt option
crystalize crystal
reinforce reinforcement
preserve preserver
alleviate alleviation
apply applicant
win winnings
stand stance
boost booster
improve improvement
ward warder
integrate integral
twitch twitching
riot rioting
misunderstand misunderstanding
carpenter carpentry
mystify puzzlement
settle settling
update updating
size sizing
accrue accrual
cobble cobbling
bleed bleeding
drive driver
voyage voyager
abort abortion
rid riddance
deride derision
follow follower
overtake overtaking
record recording
hoax hoaxer
abolish abolition
condition conditioning
tame tamer
reforest reforestation
decide deciding
recite recital
signify sign
press pressing
inform information
offend offender
walk walking
relapse relapsing
abstain abstinence
invert inversion
rival rivalry
begin beginner
hatch hatchery
quantify quantification
qualify qualification
retail retailing
intimate intimation
rally rallying
inform informing
profess profession
align alignment
stabilize stabilization
break breakage
make making
arbitrate arbiter
amaze amazement
chant chanting
gather gathering
erect erecting
criticize critic
cure curing
locate locator
encapsulate encapsulation
ice icing
color coloring
protest protester
consecrate consecration
rant ranting
induce inducement
yield yielding
translate translator
indulge indulgence
skim skimming
evaluate evaluation
slave slavery
arbitrate arbitrator
green greening
thrust thruster
exhaust depletion
scrape scraping
forecast forecaster
wrap wrapping
operate operator
sing singing
sort sorting
bottle bottler
cluster clustering
accord accordance
occupy occupier
reclaim reclamation
pirate piracy
banish banishment
shout shouting
advertise advertising
parent parentage
notify notice
burn burner
portray portraying
prevaricate prevarication
separate discrimination
augment augmentation
wear wearer
snort snorting
denigrate denigration
sleep sleeper
forest forestry
develop developer
extinguish extinguishing
machine machinery
dignify dignity
normalize normalization
apportion apportionment
restore restoration
warehouse warehousing
dispatch dispatcher
dictate dictation
climb climbing
frost frosting
obsess obsession
adopt adoption
package packaging
enrich enrichment
encase encasement
disagree disagreement
retard retardation
wrestle wrestler
exercise exercising
block blockage
pursue pursuance
achieve achiever
wander wanderer
resent resentment
dodge dodging
propose proposal
differentiate differentiation
farm farmer
jab jabbing
hop hopper
obstruct obstruction
cry crying
heat heater
liberate liberator
liquefy liquefaction
flute fluting
mend mending
wheel wheeling
instruct instruction
scoot scooter
collect collector
disrupt disruption
weep weeping
fascinate fascination
loosen loosening
earn earnings
disinfect disinfection
commit committee
indicate indication
shrink shrinking
factor factoring
flank flanker
goad goading
mow mower
monopolize monopolist
puzzle puzzlement
demonstrate demonstrator
streak streaker
ventilate vent
measure measurer
infer inference
enlist enlistment
discuss discussion
cease cessation
punt punter
shut shutter
acquire acquiring
sense sensing
mourn mourner
tax taxation
carbonate carbonation
materialize materialization
configure configuration
legitimate legitimacy
cause causation
inquire inquiring
crow crowing
concord concurrence
transplant transplantation
silence silencer
interpret interpreter
provide provider
presuppose presupposition
quack quackery
absolve absolution
found founding
raid raider
minimize minimum
deregulate deregulation
infiltrate infiltration
circumcise circumcision
hook hooking
complain complainant
calculate calculation
persuade persuader
bound boundary
line liner
beat beater
consolidate consolidation
enlist enlisting
communicate communicating
twist twisting
regress regression
equate equator
speed speeding
squeeze squeezing
blow blower
cast casting
unionize unionization
stabilize stabilizer
dampen dampening
revalue revaluation
vouch voucher
direct place
close closing
confederate confederation
save savior
consume consumption
saturate saturation
reassign reassignment
accept acceptance
market marketer
scour scouring
furnish furnishing
profess professing
betray betrayal
toast toasting
compose composing
declare declaration
start starter
douse dousing
absent absentee
conceive concept
circulate circle
clap clapping
arm armor
interrupt interruption
track tracking
shatter shattering
guzzle guzzling
induce induction
trumpet trumpeter
arbitrate arbitration
sign signing
investigate investigation
write writer
open opener
divert diversion
recalculate recalculation
prevent prevention
wax waxing
carve carving
recede recession
fence fencing
present presentation
float flotation
computerize computerization
take taking
impair impairment
trust trustee
stone stoning
found founder
sequester sequestration
strangle strangling
wreck wrecking
invalidate invalidation
yell yelling
proceed procession
lynch lynching
inherit inheritance
pop popping
demolish demolishing
replenish replenishment
feather feathering
cover coverage
mix mixer
scrutinize scrutiny
cruise cruiser
subcontract subcontractor
place placement
charge charger
count counting
regulate regulating
portray portrayal
rebuild rebuilding
tackle tackler
torture torturing
mat matting
acclimate climate
know knowing
vary variant
abduct abduction
flee flight
loot looting
slam slammer
meditate meditation
cool coolant
face facing
differ difference
advise advisement
