TRAINING
accomplish accomplishment
distill distillation
hawk hawking
counteract counteraction
wire wiring
sum summation
counsel counseling
terminate finish
rise riser
camp camper
petition petitioner
wrestle wrestler
ground grounding
overreact overreaction
fold folding
prune pruning
quell quelling
adventure adventurer
subjugate subjugation
plan planner
inoculate inoculating
publish publication
disinfect disinfection
postpone postponement
machine machinist
recreate recreation
magnify magnitude
retract retraction
titillate titillation
taste taster
renew renewal
penetrate penetration
poke poker
discontinue discontinuation
cushion cushioning
scrutinize scrutiny
reduce reducing
redeploy redeployment
hook hooking
angle angler
cool coolant
instal installing
trade trader
flip flipper
secede secession
damn damnation
envision envisioning
elevate elevation
occupy occupant
canal canalization
grin grinning
fulfill fulfillment
know knowing
advance advancement
fish fishery
hedge hedger
feast feasting
gain gainer
document documentary
attack attacker
manufacture manufacturer
arbitrate arbiter
feather feathering
feed feeding
corrupt corruption
allude allusion
derogate derogation
haul haulage
separate separator
pace pacer
solve solver
whisper whispering
ship shipping
traffic trafficker
jab jabbing
note notation
contribute contributor
stalk stalker
pilfer pilferage
compose component
pose poser
propel propellant
plant planting
inject injector
prefer preference
resent resentment
confirm confirmation
stiffen stiffening
demolish demolition
measure measurement
subdivide subdivision
stifle stifling
lubricate lubricant
will willing
dethrone dethronement
play player
crawl crawler
devote devotion
acquire acquiring
clear clearance
dodge dodging
synthesize synthesizer
define defining
reappraise reappraisal
itch itching
betray betrayal
donate donation
solve solving
reside resident
convene convention
restate restatement
delegate delegation
snorkel snorkeling
advise adviser
regulate regulating
dine dinner
pave paving
shell shelling
assail assailant
sail sailing
refer referral
misread misreading
dominate dominance
circumnavigate circumnavigation
desecrate desecration
propel propeller
give giving
puff puffing
swell swelling
copy copier
perpetuate perpetuation
tick ticking
center centering
rent renting
cover coverage
speak speaking
rebut rebuttal
argue argument
install installing
grapple grappling
survive survival
fasten fastening
catch catcher
roof roofing
endorse endorsement
woo wooing
cow coward
extrapolate extrapolation
present presentation
skate skating
shirk shirking
mandate mandatory
embody embodiment
reimburse reimbursement
lynch lynching
tube tubing
investigate investigator
fester festering
execute execution
hesitate hesitancy
pretend pretense
demolish demolishing
diet dieting
remove remover
transform transformer
detect detecting
apply applicant
gamble gambling
bless blessing
choke choker
spoil spoilage
revise revising
interpret interpreting
worsen worsening
pillage pillaging
glide gliding
slide slider
grill grilling
purge purging
float floater
foil foiling
use user
illustrate illustration
import importation
license licensee
crack cracking
amaze amazement
refer reference
yell yelling
portray portraying
taunt taunting
lunch lunching
long longing
inundate inundation
sneeze sneezing
evaporate evaporation
stipulate stipulation
initiate initiation
register registrant
abandon abandonment
hurry hurrying
recruit recruiter
negotiate negotiation
summarize summary
reprint reprinting
rinse rinsing
urinate urine
ward warder
annihilate annihilation
chase chaser
coalesce coalition
pass passer
strive striving
peruse perusal
row rowing
float flotation
visit visiting
propose proposer
content contentment
beautify beauty
capitalize capital
liquefy liquefaction
slate slating
concede conceding
spot spotter
socialize socializing
explore explorer
sense sensing
rot rotting
detoxify detoxification
dispense dispenser
motivate motivation
flood flooding
garden gardener
sing song
cool cooler
personify personification
depart departure
called calling
book booking
chip chipping
converge converging
incite incitement
sound sounding
demarcate demarcation
incur incursion
plunge plunger
infer inference
govern governor
eliminate elimination
cartoon cartoonist
mail mailer
set setting
pull pulling
strain strainer
pack packing
eat eater
snuggle snuggling
specialize specialist
disagree disagreement
disengage disengagement
conscript conscription
dislocate dislocation
scale scaling
depend dependency
account accounting
transfer transferral
forest forestry
dispense dispensation
savor savoring
toboggan tobogganing
install installment
extort extortion
feed feeder
fall faller
oppose opponent
climb climber
integrate integrating
lift lifter
quarter quartering
bombard bombardment
exist existence
curl curler
model modeling
canton cantonment
cover reporting
depose deposition
decompress decompressing
bankrupt bankruptcy
probate probation
generate generation
standardize standard
advertise advertisement
conspire conspirator
succeed succession
ship shipment
transmit transmitter
perform performer
debar debarment
start starter
store storage
supervise supervising
dismiss dismissal
couple coupling
prosecute prosecution
act actor
veer veering
order ordering
diversify diversity
waive waiver
sweeten sweetening
accuse accuser
browse browser
lose loser
replenish replenishment
deal dealings
taper tapering
arrive arrival
deport deportee
amputate amputation
endow endowment
protect protector
populate population
coerce coercion
tell telling
bomb bombing
advise advisor
carpet carpeting
expatriate expatriation
cultivate cultivation
license licenser
replace replacing
paint painting
question questioning
tailor tailoring
devaluate devaluation
appraise appraiser
scour scouring
sterilize sterilization
classify classification
televise television
spit spitting
awaken awakening
defoliate defoliation
green greenery
disappoint disappointment
exhibit exhibition
abstain abstinence
yawn yawner
abstain abstention
underwrite underwriter
harmonize harmonization
recuperate recuperation
raft rafter
secrete secretion
sift sifting
associate association
dampen dampening
culminate culmination
challenge challenger
seek seeking
offer offering
reassert reassertion
violate violator
rob robbery
transship transshipment
glorify glory
relinquish relinquishment
wine winery
slam slammer
copy copying
disapprove disapproval
skate skater
sleep sleeping
take taker
loot looter
exaggerate exaggeration
list listing
instrument instrumentation
suck suction
snort drug
detach detachment
accompany accompaniment
dig digging
divide division
furnish furnishing
fund funding
drink drinker
vent venting
contribute contribution
procreate procreation
tutor tutelage
deregulate deregulation
expel expulsion
drum drumming
sweat sweater
defect defector
classify class
box boxing
sail sailor
master mastering
consider consideration
earn earnings
cuddle cuddling
prompt prompter
found founder
forage foraging
shear shearing
strangle strangling
formulate formula
pitch pitching
precede precedent
resolve resolution
urge urgency
steep steeper
amend amendment
coagulate coagulation
remind reminder
delude delusion
possess possessor
organize organizer
cheer cheering
knit knitting
shop shopping
ignite ignition
commit commitment
interpret interpretation
convalesce convalescent
acquiesce acquiescence
molest molestation
recount recounting
resurge resurgence
melt melter
exhume exhumation
advertise advertiser
accelerate acceleration
tempt temptation
hedge hedging
pretend pretending
stew stewing
disconnect disconnection
diffuse diffusion
detract detractor
motorcycle motorcycling
reunify reunification
mask masking
mature maturation
retail retailing
complicate complication
receive receiver
sew sewing
elbow elbowing
tone toner
vary variant
prostitute prostitution
jog jogger
reform reformist
maltreat maltreatment
tan tannery
stow stowing
raise raiser
quadruple quadrupling
splash splashing
inform informant
tame tamer
migrate migration
foreclose foreclosure
gravitate gravity
reconstruct reconstruction
yearn yearning
screen screening
involve involvement
survey surveying
recollect recollection
refuse refusal
light lighter
fail failure
activate activation
interview interviewer
normalize normalization
parachute parachuting
smart smarting
plaster plastering
electrify electricity
jeer jeering
sculpt sculptor
educate education
thump thumping
disembark disembarkation
tolerate toleration
inspect inspector
ostracise ostracism
thaw thawing
tumble tumbling
forecast forecasting
reconnoitre reconnoitring
rejuvenate rejuvenation
strain straining
abet abettor
spill spillage
reduce reducer
rectify rectification
immunize immunization
motor motoring
line lining
speculate speculation
pen penning
strike striking
price pricing
stand stance
correlate correlation
act acting
wander wandering
fence fencer
commute commuter
acclimatise climate
pretend pretender
criticize critic
program programmer
cleave cleavage
cut cutter
pollute polluter
cover covering
wax waxing
detect detector
service servicing
accentuate accent
acquire acquirer
name citation
defy defiance
accumulate accumulation
astonish astonishment
install installation
win winner
impersonate impersonation
thin thinning
pale pallor
golf golfer
wound wounding
absorb absorption
unite union
improve improver
swindle swindler
underperform underperformer
auction auctioneer
equalize equalizer
film filming
mail mailing
beautify beautification
shut shutting
orphan orphanage
grant grantor
vaporize vapor
push pusher
generate generator
resolve resolving
strengthen strengthening
reexamine reexamination
energize energizing
crystallize crystal
idle idling
serve serving
douse dousing
warehouse warehousing
sparkle sparkler
headline headliner
flutter fluttering
detect detection
prospect prospector
victimize victim
roll roller
season seasoning
cloud clouding
combat combatant
frustrate frustration
fumigate fumigation
result resultant
save savings
assign assignation
retrieve retrieval
enter entrance
rob robber
wave waver
reap reaper
assemble assemblage
instigate instigator
log logging
demote demotion
stitch stitching
mark marking
refill refilling
endorse endorser
machine machinery
analyze analysis
straggle straggler
empty emptying
repair reparation
brace bracing
blast blaster
agonize agony
violate violation
brew brewery
despise despising
distill distillery
erode eroding
spot spotting
confederate confederation
long longer
net netting
trim trimmer
incriminate incrimination
voyage voyager
wreck wrecking
suppose supposition
shoot shooter
integrate integral
surf surfer
float floating
govern governance
publicize publicizing
rejoice rejoicing
scream screaming
clot clotting
seep seepage
judge judgment
create creation
flower flowering
discuss discussion
wear wearing
rewrite rewriting
jerk jerking
eventuate event
perspire perspiration
repress repression
reform reformation
purify purifier
exclude exclusion
conquer conquering
blackmail blackmailer
number numbering
theorize theory
proceed procedure
admire admirer
militarize militarization
satisfy satisfaction
catalyze catalyst
accuse accusation
trounce trouncing
certify certification
deepen deepening
add addition
cohabit cohabitation
overpay overpayment
condense condenser
misinterpret misinterpretation
tick ticker
torture torturing
terrorize terror
solidify solidifying
deride derision
eavesdrop eavesdropper
contract contracting
produce product
found founding
revolve revolution
debate debater
vaccinate vaccination
think thinker
suffice sufficiency
offend offense
allocate allocation
emerge emergence
invade invader
sew sewer
navigate navigator
ascend ascent
magnify magnifier
itemize item
spend spending
ruminate ruminant
privatize privatization
foot footer
fumigate fume
retire retirement
warm warmer
bulldoze bulldozer
react reaction
explain explanation
suck sucker
dissolve dissolving
hurdle hurdling
dive diver
employ employment
expect expectancy
boil boiler
kiss kissing
equalize equalization
pant panting
feign feigning
brief briefing
discover discovery
salt salting
divert diversion
cleanse cleanser
debrief debriefing
carve carving
insure insurance
boost booster
export exporter
screw bed
float floatation
debunk debunking
print printer
enter entrant
discount discounter
commute commutation
insert insertion
propose proposition
amplify amplifier
oversimplify oversimplification
remain remnant
jot jotting
retrieve retriever
dock dockage
ascribe ascription
switch switching
abet abetment
spatter spattering
promote promoter
indemnify indemnity
scan scanner
oscillate oscillation
employ employee
shadow shadowing
deify deity
nurse nursery
hunt hunting
win winning
regulate regulation
attribute attribution
say saying
shift shifting
mop mopping
reinsure reinsurance
triple tripling
reflect reflector
recognize recognition
squeeze squeezing
acclaim acclamation
plod plodding
heal healing
infuriate fury
whack whacking
mistreat mistreatment
row rower
mitigate mitigation
vaccinate vaccine
attend attendance
mock mockery
adjust adjustment
fill filling
weld welding
communicate communication
blow blower
project projection
compensate compensation
box boxer
pervert perversion
wholesale wholesaler
locate locator
tape taping
assist assistance
wet wetter
dilute dilution
sling slinging
administrate administrator
defoliate defoliant
draft drafting
harvest harvester
hack hacker
inhale inhalation
recover recovery
tighten tightening
celebrate celebrant
convert converter
retire retiree
intermediate intermediation
go going
remember remembrance
come coming
seduce seducer
board boarder
defile defilement
pack packer
compare comparison
find finding
savage savagery
compress compressing
reforest reforestation
research researcher
escape escapist
pension pensioner
snipe sniper
mine miner
destroy destroyer
sink sinking
surround surroundings
act action
ferry ferrying
sprinkle sprinkler
codify code
empower empowerment
rope roping
swathe swathing
arbitrate arbitration
recycle recycling
facilitate facilitator
steer steering
lock locker
regulate regulator
quicken quickening
thicken thickening
blend blender
vindicate vindication
implode implosion
riot rioting
mesh meshing
conclude conclusion
unionize union
seat seating
patent patentee
radiate radiance
replicate replication
manipulate manipulation
chew chewing
pun punning
dig digger
exempt exemption
invest investing
reorganize reorganization
deviate deviant
oxygenate oxygen
remember remembering
remarry remarriage
sled sledding
walk walker
dilate dilatation
wilt wilting
conciliate conciliation
transmit transmittal
consult consultant
wait waiting
polish polishing
punctuate punctuation
misrepresent misrepresentation
direct place
rouse rousing
jail jailer
type typist
relegate relegating
curl curling
dress dressing
daub daubing
liberalize liberalization
heal healer
intercept interceptor
convoke convocation
terminate terminus
instruct instructor
sniff sniffer
adhere adhesion
measure measurer
skim skimming
defer deference
transpose transposition
ripple rippling
stand standard
accept acceptance
unmask unmasking
thicken thickener
torment tormentor
exhaust exhaustion
sediment sedimentation
invite invitation
brainstorm brainstorming
equate equator
tax taxer
invert inverter
moor mooring
employ employer
divest divestiture
syndicate syndicator
interfere interference
develop development
simplify simplification
sanctify saint
diagnose diagnosis
sort sorting
intrude intruder
indulge indulging
interview interviewee
farm farming
weaken weakening
supplant supplanting
surface surfacing
conduct conductor
launder laundry
relate relation
live living
initiate initiator
follow following
orchestrate orchestra
subvert subversion
compassionate compassion
sympathize sympathy
emigrate emigration
wear wearer
sprint sprinter
issue issuer
embrace embracing
assign assignee
vault vaulting
sweep sweeping
shore shoring
reach reaching
celebrate celebration
bounce bouncer
avert aversion
modify modification
graduate graduation
state statement
punt punter
track tracker
liberate liberator
hold holding
banish banishment
compose composer
drug drugging
restore restorer
sing singing
untangle untangling
wink winking
detract detraction
aspire aspirant
transfer transferor
deliver delivery
dance dancer
cause causation
instill instilling
export exportation
yacht yachting
close closing
function functioning
monopolize monopolist
shield shielding
pasteurize pasteurization
court courting
advise advisory
concede concession
cut cutting
communicate communicating
circulate circular
negate negation
bottle bottler
demonstrate demonstrator
wreck wrecker
nourish nourishment
retract retractor
promote promotion
fingerprint fingerprinting
reconcile reconciliation
purchase purchasing
shrink shrinking
package packaging
utilize utility
annoy annoyance
bake baker
harvest harvesting
chart chartist
collude collusion
oppress oppressor
impoverish impoverishment
maintain maintenance
upend upending
escape escapee
arm armament
propose proposal
dress dresser
break breakage
officiate officiating
clean cleaning
idle idler
follow follower
underestimate underestimation
ferment fermenting
canal canalisation
defame defamation
differentiate differentiator
overtake overtaking
handle handling
slack slacking
grow grower
overheat overheating
bargain bargaining
market marketing
meddle meddling
intend intention
find finder
rule ruling
pick picking
cobble cobbling
carbonate carbonation
lower lowering
duplicate duplication
split splitter
mix mixer
incubate incubator
clamor clamoring
degenerate degeneration
reincarnate reincarnation
digest digestion
transgress transgression
readmit readmission
spar sparring
bump bumper
roast roaster
approve approval
mat matting
assist assistant
aspire aspiration
inject injection
elevate elevator
legitimate legitimacy
slave slavery
delineate delineation
justify justification
expend expenditure
coach coaching
comment commentary
help helper
humiliate humiliation
drive drift
stroll stroller
economize economy
till tillage
encode encoding
make maker
expose exposure
prompt prompting
deflate deflator
fruit fruition
convey conveyer
photocopy photocopier
dine diner
replicate replica
diminish diminution
listen listener
repudiate repudiation
review reviewer
radiate radiation
campaign campaigner
tend tendency
compile compiling
shatter shattering
staple stapler
quench quenching
love lover
narrow narrowing
reveal revealing
tap tapping
wait waiter
cooperate cooperation
call caller
score scorer
recede recession
persevere perseverance
operate operator
baffle mystery
disinvest disinvestment
redefine redefinition
sin sinner
carry carriage
bet better
require requirement
command commandment
oppress oppression
sign signature
expend expending
qualify quality
interconnect interconnection
coordinate coordination
appraise appraisal
index indexation
factor factoring
crack cracker
motivate motivator
fix fixing
stockpile stockpiling
eat eating
beep beeper
yield yielding
commence commencement
iron ironing
unionize unionization
attend attention
examine examinee
detail detailing
watch watching
suppress suppressor
ride riding
compel compulsion
resettle resettlement
embarrass embarrassment
strip stripping
design designer
separate separation
sell seller
transport transporter
block blocker
avenge avenger
commission commissioner
tie tier
cluster clustering
impute imputation
conglomerate conglomeration
retrospect retrospection
ration rationing
precipitate precipitator
translate translator
fly flyer
strip stripper
tend tending
baptise baptism
disclose disclosure
rub rubbing
revitalize revitalization
dodge dodger
imply implication
begin beginning
rival rivalry
deduct deduction
theorise theory
absorb absorber
carpenter carpentry
function functionary
fossilize fossil
smell smelling
wander wanderer
surf surfing
buy buyer
inflate inflation
retail retailer
compose composing
portray portrayal
subsidize subsidy
register registration
word wording
rail railing
persuade persuader
believe belief
achieve achiever
see seeing
plan planning
peddle peddling
plow plowing
green greening
translate translation
infuse infusion
design designing
falsify falsifying
focus focussing
seal sealant
work worker
referee refereeing
engrave gravure
overestimate overestimation
emulate emulation
cook cookery
nest nester
park parking
oversee overseer
denounce denouncement
convey conveying
govern government
typify type
write writer
disenfranchise disenfranchisement
enforce enforcer
charge charger
kindle kindling
stripe striping
chill chilling
rally rallying
hijack hijacker
process processor
swim swimming
fish fishing
build builder
rush rusher
err error
please pleaser
compose composition
curtail curtailment
wet wetting
shape shaping
intoxicate intoxication
seize seizure
institute institution
schedule scheduler
stunt stunting
push pushing
condescend condescension
recruit recruitment
refute refutation
trace tracing
pack package
recant recantation
resuscitate resuscitation
reverse reversal
consume consumption
schedule scheduling
down carry
devalue devaluation
maximize maximum
close closure
cycle cyclist
agitate agitator
deregulate deregulating
depress depressant
stuff stuffing
coincide coincidence
dribble dribbling
walk walking
dive diving
accelerate accelerator
study student
rescind rescission
ascend ascendancy
solicit solicitor
object objection
jewel jewelry
hide hiding
crave craving
induce inducement
scoff scoffing
raze razing
salvage salvager
flank flanker
steam steamer
code coding
loot looting
execute executing
brawl brawler
wheel wheeling
disparage disparagement
abound abundance
confide confidant
diet dietary
mumble mumbling
fade fading
conceive conception
starve starvation
revalue revaluation
please pleasing
ventilate vent
cast caster
contend contention
bag bagging
disinvest undress
hinder hindrance
intrude intrusion
lag lagging
bat batting
rehabilitate rehabilitation
guarantee guarantor
recommence recommencement
elope elopement
house housing
head heading
fix fixture
disclaim disclaimer
dispossess dispossession
intensify intensity
detonate detonation
truck trucker
dwindle dwindling
deter deterrent
coordinate coordinator
edit editing
trumpet trumpeter
meddle meddler
depict depicting
immigrate immigrant
wish wishing
revolt revolution
charm charmer
laminate lamination
sign signer
engineer engineering
mug mugging
squat squatting
dream dreamer
resume resumption
buy buying
computerize computerization
litigate litigant
reject rejection
ebb ebbing
record recorder
prowl prowler
print printing
perfume perfumery
mug mugger
appear apparition
declare declaration
engrave engraving
pacify pacification
ripen ripening
occupy occupancy
pollinate pollination
poach poaching
amortize amortization
determine determinant
calculate calculus
derive deriving
segment segmentation
inoculate inoculation
abort abortion
drill drilling
execute executor
dilate dilation
consolidate consolidation
cannibalize cannibal
vibrate vibrancy
vanish vanishing
shout shouting
originate origin
retaliate retaliation
stir stirring
detonate detonator
enlarge enlargement
fail failing
fix fixer
percolate percolation
pipe piping
defer deferment
decorate decor
assassinate assassination
rebury reburial
interdict interdiction
deliberate deliberation
transplant transplantation
intimidate intimidation
reiterate reiteration
update updating
fragment fragmentation
commit committal
render rendering
observe observer
leak leakage
reappear reappearance
master mastery
burn burner
wane waning
deal dealing
repatriate repatriation
commission commissioning
dispose disposition
forward forwarding
hoax hoaxer
suggest suggestion
inhibit inhibition
plead pleading
prioritize priority
grind grinder
affirm affirmation
dance dancing
parcel parceling
discover discoverer
demonize demon
constitute constitution
prime primer
relive reliving
quack quackery
observe observance
spray spraying
desert desertion
drive driving
use usage
emphasize emphasizing
can cannery
precipitate precipitation
sweat sweating
exert exertion
centralize centralization
revolve roll
evacuate evacuation
confine confinement
support supporting
bid bidder
rig rigging
transform transformation
pilot piloting
tend tender
nullify nullification
ruminate rumen
validate validation
irritate irritant
comply compliance
let lessor
utilize utilization
desalinate desalination
reduce reduction
mold molding
growl growling
capitulate capitulation
incinerate incineration
enlist enlisting
feel feeling
string stringer
disfigure disfigurement
redeem redemption
enclose enclosure
position positioning
sequester sequestration
arrange arrangement
move motion
induct induction
tail tailing
develop developing
vacate vacation
shake shaker
absent absence
ski skier
be being
pollute pollution
freshen freshener
arrange arranger
liberate liberation
boat boating
huff huffing
document documentation
listen listening
consume consumer
activate activator
generalize generalization
smack smacking
defuse defusing
migrate migrant
deport deportation
cry crying
guide guidance
abolish abolition
dismantle dismantlement
poke poking
dispatch dispatcher
doubt doubter
operate operation
conspire conspiracy
case casing
supply supplying
obligate obligation
knock knocker
orbit orbiter
squat squatter
head header
stagnate stagnancy
accredit accreditation
enlighten enlightenment
assess assessment
irritate irritation
consummate consummation
stabilize stabilization
equate equation
bifurcate fork
assassinate assassin
calculate calculator
breed breeder
place placement
frisk frisking
procrastinate procrastination
flatter flattery
equip equipment
second secondment
protect protection
collide collision
deconstruct deconstruction
collect collecting
levitate levitation
allow allowance
crystalize crystal
detain detainee
prevaricate prevarication
repent repentance
groom grooming
port porter
forge forging
diverge divergence
climb climbing
distill distillate
survey surveyor
denominate denomination
legislate legislature
dissent dissenter
devote devotee
depreciate depreciation
soar soaring
redistribute redistribution
marry marriage
predominate predominance
protest protester
fly flier
ingest ingestion
declassify declassification
disbelieve disbeliever
produce producer
predict predictor
compute computer
freeze freezing
illustrate illustrator
whistle whistling
ally alliance
deal dealer
ravage ravaging
post poster
materialize materialization
verify verification
impair impairment
reorient reorientation
outfit outfitter
snoop snooper
suffocate suffocation
waver wavering
rock rocker
reinstate reinstatement
repel repellant
peruse perusing
spur spurring
induce induction
deprive deprivation
butcher butchery
run running
picture picturing
inform information
imitate imitator
computerize computer
rescue rescuer
admit admission
cancel cancellation
smash smashing
turn turning
insulate insulator
incinerate incinerator
educate educator
unite uniting
summon summoning
sour souring
creak creaking
receive receptor
flap flapping
multiply multiplier
circulate circulation
fascinate fascination
tell tale
punish punishment
nominate nomination
cast casting
root rooting
sensitize sensitizer
pound pounding
value valuer
widen widening
ordain ordinance
disburse disbursement
preach preacher
credit creditor
launch launcher
exhibit exhibitor
embezzle embezzlement
select selection
borrow borrower
judge judiciary
conserve conservation
concord concurrence
venture venturer
carry carrier
jeopardize jeopardy
serve servant
excavate excavator
offend offender
liquidate liquidator
conjure conjuring
animate animator
believe believer
revel revelry
write writing
suppress suppression
motivate motive
bleed bleeder
shave shaver
cycle cycling
express expression
hum humming
repute reputation
respect respecter
warn warning
rent renter
reproduce reproduction
battle battler
compose composure
lament lamentation
complain complainant
monopolize monopolization
bicycle bicyclist
drain drainage
burglarize burglary
jam jamming
solve solution
specialize specialization
name naming
mourn mourning
energize energy
legislate legislation
ski skiing
flute fluting
load loading
commentate commentator
phrase phrasing
conjure conjurer
enact enactment
dissipate dissipation
expropriate expropriation
ease easing
convalesce convalescence
disavow disavowal
vault vaulter
unload unloading
record recording
rebel rebellion
forecast forecaster
irradiate irradiation
mix mixture
remove removal
encourage encouragement
pilot pilotage
transfer transference
march marching
adorn adornment
visualize visualization
refuel refueling
ready readying
repossess repossession
regenerate regeneration
toast toasting
intend intent
alternate alternation
provide provision
tow tower
improvise improvisation
shiver shivering
prosecute prosecutor
subside subsidence
invest investiture
distribute distributor
eject ejector
repay repayment
falcon falconry
murder murderer
color coloring
travel traveler
refine refiner
investigate investigating
configure configuration
castrate castration
trust trustee
inflict infliction
determine determination
understate understatement
grumble grumbling
globalize globalization
usurp usurpation
render rendition
sack sacking
waste wastage
contract contraction
infiltrate infiltration
smoke smoker
revise revision
defend defendant
rib ribbing
reconnoitre reconnaissance
resist resistance
affiliate affiliation
finance financing
relocate relocation
salve salvation
tease teaser
lodge lodgement
moderate curb
scheme schemer
disqualify disqualification
trail trailer
circulate circle
disable disablement
hook hooker
hatch hatchery
hold holder
reaffirm reaffirmation
stagnate stagnation
clown clowning
uplift uplifting
specify specification
save saver
please pleasure
tear tearing
ice icing
undertake undertaking
except exception
miniaturize miniaturization
preserve preservation
silence silencer
seal sealer
handicap handicapper
ferment fermentation
collect collection
disarm disarming
mystify mystery
terminate termination
edit editor
hurt hurting
frame framing
urge urging
deter deterrence
extinguish extinguishing
despair desperate
shoot shooting
reassign reassignment
dissemble dissembling
salute pledge
clock clocking
revolutionize revolution
disinfect disinfectant
back backer
sign signing
disarm disarmament
arm armor
ostracize ostracism
authenticate authentication
predict prediction
deduce deduction
thin thinner
germinate germination
command commander
inform informing
commit committee
sputter sputtering
post posting
desolate desolation
vary variance
rationalize rationalization
wring wringer
pertain pertinence
destroy destruction
ignore ignorance
remit remission
refine refining
plant planter
tackle tackler
expel expelling
exacerbate exacerbation
savor relish
effectuate effect
flash flashing
enclose enclosing
announce announcement
draft draftee
vaccinate vaccinating
bumble bumbler
live liver
sight sighting
build building
scrub scrubbing
insist insisting
recommend recommendation
multiply multiplication
elect electorate
dispose disposal
engage engagement
rehearse rehearsal
occupy occupation
reimpose reimposition
coin coinage
synchronize synchronizing
dissect dissection
analyze analyst
creep creeping
dine dining
splinter splintering
squander squandering
ride rider
consign consignee
purify purity
contaminate contamination
integrate integration
happen happening
soldier soldiering
water watering
plumb plumbing
fold folder
gas gassing
spank spanking
erect erection
form formation
pass passing
panel paneling
require requisition
wake waking
fuel fueling
thrash thrashing
direct directive
gut gutter
drink drunkard
dry drier
mutter muttering
page paging
join juncture
compute computation
balloon balloonist
compact compaction
prepay prepayment
grow growing
germinate germ
sweep sweeper
fortify fortification
talk talking
patch patching
minimize minimum
issue issuing
relapse relapsing
plate plating
frost frosting
miniaturize miniature
sap sapper
kidnap kidnapping
retrench retrenchment
lecture lecturer
finger fingering
fast fasting
motor motorist
originate originator
clap clapping
distinguish distinction
disbar disbarment
desert deserter
hawk hawker
costume costumer
fall accrual
adjudicate adjudicator
contemplate contemplation
prod prodding
commute commuting
revere reverence
murmur murmuring
present presentment
acquit acquittal
deliver deliverance
qualify qualification
ascend ascension
pry prying
attenuate attenuation
constitute constituent
proclaim proclamation
proscribe proscription
quarry quarrying
dredge dredger
ship shipper
succeed successor
perpetrate perpetration
graft grafting
tan tanning
train trainee
landscape landscaping
take taking
travel traveling
unveil unveiling
spell spelling
deflect deflection
reciprocate reciprocation
hang hanging
liquify liquid
syndicate syndication
control controller
pronounce pronouncement
monitor monitoring
choke choking
muse musing
purchase purchaser
lodge lodging
urinate urination
crawl crawling
freight freighter
rearm rearmament
conquer conqueror
occupy occupier
gloat gloating
entitle entitlement
begin beginner
merge merging
tense tension
exonerate exoneration
foster fostering
decide decision
cleave cleaver
wrestle wrestling
sever severing
construct construction
loosen loosening
default defaulter
line liner
wade wading
move movement
cure curing
dissuade dissuasion
sparkle sparkling
enjoy enjoyment
atone atonement
mount mounting
cool cooling
import importer
detain detention
cleanse cleansing
waste waster
sever severance
repeat repeating
discontent discontentment
stimulate stimulant
found foundation
neutralize neutralization
peel peeling
better betterment
grade grading
undo undoing
recede receding
bank banker
exploit exploiter
calculate calculation
reallocate reallocation
vary variate
officiate office
mutate mutant
attach attachment
twist twister
reclaim reclamation
reintroduce reintroduction
