TRAINING
irradiate irradiation
donate donation
perceive perception
swim swimmer
detoxify detoxification
evaporate vapor
mop mopping
resist resistance
advise adviser
regulate regulating
dine dinner
arm armament
propose proposer
transport transporter
clean cleaning
accumulate accumulation
misread misreading
dominate dominance
circumnavigate circumnavigation
desecrate desecration
usurp usurper
give giving
tickle tickling
swell swelling
fabricate fabrication
adhere adhesion
tick ticking
select selection
organize organization
cover coverage
speak speaking
remove removal
blend blender
install installing
infuriate fury
defile defilement
bleed bleeder
catch catcher
roof roofing
smoke smoking
shut shutting
waste wastage
part parting
present presentation
hang hanging
camp camping
publicize publicizing
embody embodiment
spread spreading
peruse perusal
tube tubing
insure insurer
record recorder
savor relish
spy spying
supervise supervising
drain drainage
diet dieting
swear swearing
content contentment
purchase purchasing
apply applicant
gamble gambling
bless blessing
corroborate corroboration
procrastinate procrastination
revise revising
tell teller
worsen worsening
pillage pillaging
glide gliding
slide slider
grill grilling
twist twisting
spray spraying
foil foiling
racketeer racketeering
illustrate illustration
smelt smelter
license licensee
sniff sniffer
hum humming
refer reference
formulate formula
induct induction
huff huffing
lunch lunching
long longing
initiate initiation
sneeze sneezing
evaporate evaporation
stipulate stipulation
admit admission
register registrant
oppress oppression
refill refilling
recruit recruiter
automate automation
summarize summary
refocus refocusing
pull pulling
express expression
desert desertion
annihilate annihilation
chase chaser
acquire acquisition
pass passer
strive striving
derogate derogation
induce inducing
insert insertion
investigate investigation
concur concurrence
putt putter
beautify beauty
capitalize capital
liquefy liquefaction
magnify magnifier
incite incitement
climb climbing
socialize socializing
acknowledge acknowledgment
baffle mystery
rot rotting
fail failure
decorate decor
motivate motivation
coax coaxing
garden gardener
skate skating
cool cooler
preside president
depart departure
called calling
stain stainer
chip chipping
converge converging
bowl bowler
make making
incarnate incarnation
incur incursion
plunge plunger
personify person
relive reliving
eliminate elimination
pick picker
characterize character
touch touching
connect connexion
strain strainer
pack packing
count counter
snuggle snuggling
specialize specialist
research researcher
disengage disengagement
relapse relapsing
fix fixing
scale scaling
depend dependency
account accounting
transfer transferral
bribe bribery
dispense dispensation
savor savoring
toboggan tobogganing
stitch stitching
enlighten enlightenment
feed feeder
fall faller
endure endurance
climb climber
integrate integrating
lower lowering
quarter quartering
maximize maximum
exist existence
curl curler
dwindle dwindling
dirty dirtying
cover reporting
depose deposition
rebut rebuttal
expel expulsion
delineate delineation
hatch hatchery
standardize standard
advertise advertisement
oppose opposition
succeed succession
ship shipment
mail mailer
perform performer
disinfect disinfection
commercialize commercialization
burn burner
dictate dictation
win winner
assume assumption
bind bindery
suggest suggestion
veer veering
order ordering
diversify diversity
waive waiver
plumb plumbing
reap reaper
narrow narrowing
flog flogging
shirk shirking
insist insisting
taper tapering
persevere perseverance
deport deportee
dismiss dismissal
perpetrate perpetrator
found founding
populate population
howl howler
visit visiting
bomb bombing
advise advisor
recur recurrence
digest digestion
cultivate cultivation
license licenser
imprison imprisonment
paint painting
question questioning
solve solving
denude denudation
appraise appraiser
scour scouring
replace replacement
classify classification
commentate comment
spit spitting
awaken awakening
defoliate defoliation
lubricate lubrication
convey conveyor
extrapolate extrapolation
oust ousting
yawn yawner
punch puncher
shake shaker
detract detraction
rebuild rebuilding
raft rafter
secrete secretion
frost frosting
liberalize liberalization
dampen dampening
monetize monetization
protect protection
induce inducement
qualify qualifier
degenerate degeneration
subject subjection
heal healing
transship transshipment
row rower
bargain bargaining
vibrate vibrancy
slam slammer
recalculate recalculation
disapprove disapproval
recognize recognition
modernize modernization
reinforce reinforcement
loot looter
exaggerate exaggeration
list listing
instrument instrumentation
suck suction
snort drug
find finder
accompany accompaniment
dig digging
cup cupping
generate generation
decelerate deceleration
monopolize monopoly
invest investing
contribute contribution
procreate procreation
tutor tutelage
instill instilling
suspect suspicion
fit fitter
punt punting
defect defector
classify class
undertake undertaking
sail sailor
master mastering
consider consideration
earn earnings
cuddle cuddling
peruse perusing
condition conditioner
divorce divorcee
propose proposal
irrigate irrigation
break breaker
pitch pitching
subjugate subjugation
resolve resolution
talk talker
steep steeper
amend amendment
float flotation
dwell dwelling
delude delusion
possess possessor
measure measurement
cheer cheering
shade shading
shop shopping
ignite ignition
commit commitment
interpret interpretation
crawl crawler
acquiesce acquiescence
extinguish extinguishing
lament lamentation
resurge resurgence
melt melter
exhume exhumation
cover reportage
accelerate acceleration
tempt temptation
transform transformer
compete competitor
stew stewing
full fuller
bid bidding
tow tower
shuffle shuffling
reunify reunification
found foundation
mature maturation
navigate navigation
rule ruling
disintegrate disintegration
sew sewing
elbow elbowing
empower empowerment
repair repairer
scan scanner
negate negation
infect infection
maltreat maltreatment
support supporting
stow stowing
raise raiser
temper tempering
splash splashing
inform informant
angle angler
woo wooing
slack slacker
gravitate gravity
reconstruct reconstruction
stretch stretcher
question questioner
respect respecter
survey surveying
molest molestation
thin thinning
please pleaser
slip slippage
activate activation
interview interviewer
buzz buzzer
parachute parachuting
absorb absorbent
fluctuate fluctuation
publish publication
perpetuate perpetuation
combine combining
educate education
railroad railroading
disembark disembarkation
tolerate toleration
recollect recollection
prune pruning
thaw thawing
dispense dispenser
upend upending
extinguish extinguisher
dare daring
strain straining
ranch ranching
spill spillage
forge forging
rectify rectification
immunize immunization
imagine imagination
motor motoring
speculate speculation
pen penning
crush crusher
price pricing
visit visitor
ventilate ventilation
convert converter
wander wandering
fence fencer
seek seeking
acclimatise climate
cow coward
reallocate reallocation
optimize optimum
personify persona
cut cutter
sever severance
withdraw withdrawal
wax waxing
challenge challenger
retard retardation
exacerbate exacerbation
acquire acquirer
name citation
encapsulate encapsulation
stain staining
contract contractor
install installation
think thinking
impersonate impersonation
explain explanation
jab jabbing
clinch clincher
file filer
absorb absorption
tan tannery
divide division
sell selling
monopolize monopolization
auction auctioneer
equalize equalizer
miscalculate miscalculation
die death
beautify beautification
reckon reckoning
orphan orphanage
grant grantor
commentate commentator
push pusher
generate generator
respond respondent
progress progression
reexamine reexamination
animate animator
cleave cleaver
nurse nursing
serve serving
inundate inundation
lag laggard
comment commentary
rustle rustling
visit visitation
elope elopement
prospect prospector
project projector
roll roller
delete deletion
cloud clouding
combat combatant
improvise improvisation
twist twister
merge merger
snoop snooper
assign assignation
sound sounding
enter entrance
rob robber
wave waver
propel propeller
displease displeasure
instigate instigator
log logging
grow growth
assess assessor
petition petitioner
clap clapping
proclaim proclamation
grin grinning
close closure
straggle straggler
empty emptying
repair reparation
brace bracing
blast blaster
attain attainment
bake baker
brew brewery
despise despising
execute executor
insure insurance
dislocate dislocation
confuse confusion
mutate mutation
net netting
trim trimmer
thrill thriller
voyage voyager
wreck wrecking
suppose supposition
shoot shooter
integrate integral
weave weaver
float floating
govern governance
fold folder
rejoice rejoicing
scream screaming
debar debarment
seep seepage
pit pitting
create creation
flower flowering
discuss discussion
wear wearing
harmonize harmonization
jerk jerking
eventuate event
perspire perspiration
freelance freelancer
reform reformation
indent indenture
exclude exclusion
till tillage
blackmail blackmailer
number numbering
theorize theory
motorcycle motorcycling
defer deferral
militarize militarization
remit remittance
catalyze catalyst
accuse accusation
project projection
protest protester
deepen deepening
assign assignment
fight fighting
overpay overpayment
describe description
endorse endorser
reimpose reimposition
torture torturing
ride riding
solidify solidifying
deride derision
eavesdrop eavesdropper
constrict constrictor
produce product
secede secession
top topper
debate debater
vaccinate vaccination
turn turner
suffice sufficiency
explore exploration
enjoy enjoyment
knit knitting
dive diving
sew sewer
image imagery
ascend ascent
kindle kindling
abduct abductor
complicate complication
ruminate ruminant
privatize privatization
foot footer
take taking
retrain retraining
warm warmer
fry frying
dress dressing
snipe sniper
manage manager
dissolve dissolving
crawl crawling
tend tendency
employ employment
expect expectancy
transmit transmitting
recuperate recuperation
center centering
pant panting
program programmer
fly flyer
discover discovery
peddle peddling
weld welding
separate separation
debrief debriefing
sail sailing
meddle meddler
show showing
export exporter
screw bed
float floatation
found founder
salvage salvager
enter entrant
discount discounter
commute commutation
assess assessment
bore borer
vary variance
post postage
clip clipping
ramp rampage
join junction
dock dockage
ascribe ascription
grind grinding
abet abetment
spatter spattering
poach poaching
eject ejector
swerve swerving
oscillate oscillation
rub rubbing
grapple grappling
deify deity
nurse nursery
hunt hunting
disperse dispersion
simulate simulator
give giver
plead pleading
pick pickings
purify purifier
reinsure reinsurance
triple tripling
reflect reflector
wander wanderer
squeeze squeezing
unfold unfolding
plod plodding
wrangle wrangling
declassify declassification
reveal revelation
mistreat mistreatment
prosecute prosecution
mitigate mitigation
vaccinate vaccine
mow mower
limit limiter
adjust adjustment
agonize agony
prevaricate prevarication
arbitrate arbitrator
expire expiration
state statement
compensate compensation
stockpile stockpiling
pervert perversion
wholesale wholesaler
locate locator
eject ejection
assist assistance
poison poisoning
idle idling
puzzle puzzlement
anoint anointment
resemble resemblance
draft drafting
harvest harvester
hack hacker
inhale inhalation
dilute dilution
conspire conspiracy
appear appearance
divert diversion
retire retiree
intermediate intermediation
go going
remember remembrance
receive reception
seduce seducer
board boarder
analyze analyzer
meddle meddling
destroy destroyer
find finding
savage savagery
compress compressing
guzzle guzzling
cough coughing
escape escapist
panel paneling
port porter
finger fingering
hold holding
harmonize harmony
gut gutter
act action
sting stinger
sprinkle sprinkler
impress impression
misinterpret misinterpretation
rope roping
swathe swathing
arbitrate arbitration
recycle recycling
facilitate facilitator
slow slowing
lock locker
pollute pollutant
quicken quickening
thicken thickening
denigrate denigration
vindicate vindication
abstain abstinence
compound compounding
vary variant
denominate denomination
unionize union
seat seating
pack package
evolve evolution
entertain entertainer
manipulate manipulation
stalk stalking
pun punning
infer inference
tailor tailoring
score scorer
disinfect disinfectant
deviate deviant
puff puffing
invade invader
say saying
dispose disposal
adapt adaptation
dilate dilatation
wilt wilting
associate association
transmit transmittal
accrue accrual
sour souring
polish polishing
punctuate punctuation
portray portraying
invoke invocation
book booking
clean cleaner
heave heaver
relegate relegating
abstain abstention
reunite reunion
daub daubing
deploy deployment
heal healer
intercept interceptor
convoke convocation
terminate terminus
instruct instructor
land lander
reelect reelection
measure measurer
skim skimming
defer deference
transpose transposition
ripple rippling
ferry ferrying
reduce reducer
unmask unmasking
thicken thickener
hedge hedging
exhaust exhaustion
sediment sedimentation
invite invitation
brainstorm brainstorming
equate equator
tax taxer
partition partitioning
remind reminder
attend attendant
render rendering
syndicate syndicator
interfere interference
develop development
simplify simplification
resuscitate resuscitation
collect collector
shell shelling
diet dietary
professionalize professionalization
interview interviewee
farm farming
oppose opponent
supplant supplanting
surface surfacing
doubt doubter
launder laundry
legitimate legitimacy
float floater
initiate initiator
follow following
orchestrate orchestra
subvert subversion
roast roaster
sympathize sympathy
train trainee
wear wearer
game gaming
canal canalisation
diffuse diffusion
assign assignee
receive receiver
sweep sweeping
shore shoring
reach reaching
extinguish extinction
integrate integrator
avert aversion
modify modification
graduate graduation
erupt eruption
punt punter
track tracker
liberate liberator
proceed procedure
delegate delegating
compose composer
drug drugging
rescind rescission
shed shedding
merge merging
wink winking
trump trumping
darken darkening
transfer transferor
bifurcate fork
orchestrate orchestration
cause causation
dispatch dispatcher
distribute distribution
suck sucker
close closing
sheet sheeting
submerge submersion
crowd crowding
pasteurize pasteurization
court courting
advise advisory
concede concession
renounce renunciation
coexist coexistence
circulate circular
prick pricking
augment augmentation
mail mailing
decompress decompressing
refresh refreshment
retract retractor
adjudicate judge
fingerprint fingerprinting
carpenter carpentry
arrive arrival
quarter quarters
preach preacher
beat beating
edge edging
command commandant
harvest harvesting
import importation
broker brokerage
accept acceptance
impoverish impoverishment
gloat gloating
remain remainder
escape escapee
deflate deflator
decorate decoration
dress dresser
disburse disbursal
persist persistency
seduce seduction
live living
transplant transplanting
underestimate underestimation
traffic trafficker
jostle jostling
plaster plastering
differentiate differentiator
embrace embracing
deflate deflation
slack slacking
grow grower
overheat overheating
moderate curb
weaken weakening
convene convening
save savior
assert assertion
sprout sprouting
pick picking
cobble cobbling
abdicate abdication
conciliate conciliation
duplicate duplication
creak creaking
settle settler
blink blinking
conclude conclusion
prescribe prescription
devote devotion
destroy destruction
transgress transgression
readmit readmission
spar sparring
bump bumper
record recording
approve approval
repeat repeating
detect detecting
officiate officiating
inject injection
space spacing
muffle muffler
play player
conceal concealing
justify justification
expend expenditure
coach coaching
park parking
compute computer
slug slugger
drive drift
stroll stroller
machine machinery
confide confidence
encode encoding
make maker
redeploy redeployment
prompt prompting
reprint reprinting
fruit fruition
convey conveyer
photocopy photocopier
dine diner
fold folding
diminish diminution
canton cantonment
repudiate repudiation
review reviewer
abandon abandonment
torment tormentor
enforce enforcement
disappoint disappointment
shatter shattering
foreclose foreclosure
mellow mellowing
love lover
compile compiling
codify code
prostitute prostitution
ruin ruining
prostrate prostration
computerize computerization
march marcher
recede recession
conform conformance
mask masking
contract contracting
disinvest disinvestment
redefine redefinition
collude collusion
carry carriage
bet better
require requirement
command commandment
sum summation
test testing
push pushing
qualify quality
compassionate compassion
postpone postponement
improve improvement
index indexation
adventure adventurer
crack cracker
motivate motivator
revolutionize revolution
tell telling
persuade persuader
ruminate rumen
yield yielding
commence commencement
iron ironing
breathe breathing
commit commission
examine examinee
copy copying
prevail prevalence
suppress suppressor
migrate migration
compel compulsion
rejuvenate rejuvenation
embarrass embarrassment
strip stripping
design designer
scoot scooter
restore restorer
indemnify indemnity
patent patentee
avenge avenger
commission commissioner
interrupt interruption
lay layer
emigrate emigration
conglomerate conglomeration
retrospect retrospection
trumpet trumpeter
precipitate precipitator
banish banishment
confirm confirmation
strip stripper
tend tending
baptise baptism
expound expansion
ordain ordinance
curb check
supplement supplementation
imply implication
observe observance
rival rivalry
deduct deduction
participate participation
absorb absorber
draft draftee
time timing
calculate calculus
smell smelling
equate equal
surf surfing
write writing
inflate inflation
accentuate accent
itch itching
dignify dignity
subsidize subsidy
oust ouster
word wording
employ employer
goad goading
believe belief
achieve achiever
energize energy
plan planning
resurrect resurrection
detect detector
green greening
translate translation
infuse infusion
design designing
falsify falsifying
focus focussing
endorse endorsement
work worker
referee refereeing
engrave gravure
overestimate overestimation
emulate emulation
cook cookery
nest nester
hunt hunter
oversee overseer
denounce denouncement
undress strip
govern government
purify purification
write writer
disenfranchise disenfranchisement
pretend pretense
charge charger
trust trustee
stripe striping
chill chilling
abet abettor
hijack hijacker
process processor
swim swimming
advertise advertiser
untangle untangling
rush rusher
whack whacking
refurbish refurbishment
compose composition
curtail curtailment
wet wetting
withhold withholding
outfit outfitter
demolish demolishing
institute institution
disable disablement
stunt stunting
litigate litigator
condescend condescension
recruit recruitment
inhibit inhibitor
trace tracing
handicap handicapper
recant recantation
radiate radiator
reverse reversal
lead leader
issue issuer
revitalize revitalization
seal sealant
fuel fueling
profane profanation
ward warder
agitate agitator
deregulate deregulating
attribute attribution
achieve achievement
coincide coincidence
dribble dribbling
walk walking
staple stapler
certify certificate
study student
wound wounding
repulse repulsion
screen screening
object objection
condense condenser
bind binder
crave craving
emerge emergence
scoff scoffing
raze razing
defy defiance
reform reformist
steam steamer
code coding
loot looting
execute executing
coast coaster
wheel wheeling
disparage disparagement
abound abundance
confide confidant
console consolation
win winnings
fade fading
conceive conception
drive driver
spot spotting
please pleasing
except exception
cast caster
contend contention
bag bagging
debunk debunking
bulldoze bulldozer
delegate delegation
lag lagging
mountaineer mountaineering
squander squandering
guarantee guarantor
recommence recommencement
admire admiration
house housing
head heading
fix fixture
shift shifting
dispossess dispossession
intensify intensity
run running
emigrate emigrant
ascend ascendancy
chew chewing
assure assurance
couple coupling
carve carving
import importer
depict depicting
rave raving
offend offense
revolt revolution
cover report
pelt pelting
sign signer
engineer engineering
mug mugging
squat squatting
dream dreamer
signify significance
buy buying
sleep sleeper
litigate litigant
reject rejection
ebb ebbing
think thinker
handle handling
print printing
talk talking
mug mugger
appear apparition
declare declaration
refuel refueling
pacify pacification
sing song
impede impediment
cool coolant
wed wedding
amortize amortization
portray portrayal
share sharing
fix fixer
yawn yawning
reforest reforestation
restore restoration
judge judgment
bear bearer
haul hauling
tail tailing
cannibalize cannibal
recover recovery
die dying
shout shouting
conduct conduction
retaliate retaliation
stir stirring
cremate cremation
devise devising
fail failing
tend tender
waste waster
pipe piping
mate mating
dissent dissension
assassinate assassination
rebury reburial
graft grafting
deliberate deliberation
transplant transplantation
disbelieve disbeliever
reiterate reiteration
process processing
conciliate conciliator
dream dreaming
beatify beatification
observe observer
leak leakage
reappear reappearance
mutiny mutineer
devolve devolution
wane waning
deal dealing
vent venting
commission commissioning
copy copier
distinguish distinction
compare comparing
open opener
regress regression
dissect dissection
prioritize priority
deter deterrence
merchandise merchandiser
insulate insulator
parcel parceling
discover discoverer
demonize demon
widen widening
coordinate coordinator
listen listening
quack quackery
dredge dredger
arrest arrester
elude eluding
reimburse reimbursement
use usage
stone stoning
can cannery
pursue pursuance
devaluate devaluation
intrude intruder
permit permission
criticize critic
evacuate evacuation
abort abortion
watch watcher
bid bidder
circumvent circumvention
transform transformation
roll rolling
dive diver
nullify nullification
shield shielding
drill drilling
irritate irritant
comply compliance
let lessor
wrap wrapping
cool cooling
steamroll steamroller
mold molding
growl growling
clamor clamoring
incinerate incineration
enlist enlisting
loosen loosening
conspire conspirator
disfigure disfigurement
flow flowing
enclose enclosure
sprawl sprawling
sequester sequestration
arrange arrangement
move motion
service servicing
fund funding
develop developing
vacate vacation
reduce reduction
pigment pigmentation
fill filling
elevate elevator
pollute pollution
miniaturize miniature
predispose predisposition
liberate liberation
paint painter
amplify amplifier
validate validation
hijack hijacking
consume consumer
activate activator
implement implementation
compile compiler
defuse defusing
computerize computer
agree agreement
cry crying
guide guidance
abolish abolition
page paging
poke poking
intervene intervention
meditate meditation
operate operation
clothe clothing
case casing
exhaust depletion
obligate obligation
knock knocker
brawl brawler
pirate piracy
head header
feather feathering
refer name
march marching
race racing
irritate irritation
grate grating
stabilize stabilization
equate equation
bat batting
assassinate assassin
calculate calculator
administrate administrator
synchronize synchronization
frisk frisking
ventilate vent
tape taping
repel repellent
second secondment
train trainer
collide collision
deconstruct deconstruction
collect collecting
accredit accreditation
allow allowance
deprecate deprecation
exploit exploitation
manipulate manipulator
afflict affliction
groom grooming
stack stacker
disgorge disgorgement
diverge divergence
forage foraging
distill distillate
survey surveyor
inter interment
legislate legislature
soak soaking
devote devotee
depreciate depreciation
shop shopper
redistribute redistribution
marry marriage
predominate predominance
gather gatherer
fly flier
ingest ingestion
come coming
determine determination
score scoring
predict predictor
wrestle wrestling
know knowing
illustrate illustrator
whistle whistling
ally alliance
deal dealer
introduce introduction
post poster
materialize materialization
verify verification
publish publishing
reorient reorientation
connect connection
store storage
suffocate suffocation
waver wavering
rock rocker
warehouse warehousing
repel repellant
portray portraiture
document documentation
induce induction
sled sledding
butcher butchery
green greenery
picture picturing
inform information
forward forwarding
type typing
rescue rescuer
pay payment
cancel cancellation
smash smashing
turn turning
victimize victim
incinerate incinerator
educate educator
unite uniting
nationalize nationalization
enlarge enlargement
rise rising
receive receptor
bellow bellowing
multiply multiplier
circulate circulation
smuggle smuggler
stay stayer
punish punishment
nominate nomination
cast casting
procure procurement
reclaim reclamation
attract attraction
cricket cricketer
gravitate gravitation
perfect perfection
disburse disbursement
strike striking
credit creditor
rig rigging
exhibit exhibitor
embezzle embezzlement
disillusion disillusionment
borrow borrower
judge judiciary
conserve conservation
concord concurrence
go goer
hatch hatching
jeopardize jeopardy
abduct abduction
excavate excavator
offend offender
relax relaxant
conjure conjuring
inject injector
believe believer
revel revelry
underwrite underwriter
legislate legislation
apportion apportionment
quadruple quadrupling
shave shaver
cycle cycling
avoid avoidance
pound pounding
defend defender
relinquish relinquishment
warn warning
deactivate deactivation
reproduce reproduction
battle battler
compose composure
extract extraction
ratify ratification
rinse rinsing
condition conditioning
dump dumping
impute imputation
jam jamming
solve solution
heckle heckler
name naming
mourn mourning
nourish nourishment
dissemble dissembling
ski skiing
spoil spoiler
stand stance
calibrate calibration
phrase phrasing
conjure conjurer
enact enactment
dissipate dissipation
expropriate expropriation
liberate liberty
convalesce convalescence
tile tiling
cover covering
smack smacking
subscribe subscriber
rebel rebellion
position positioning
congregate congregation
mix mixture
train training
render rendition
escalate escalation
transit transition
decompose decomposition
adorn adornment
rouse rousing
presuppose presupposition
ready readying
repossess repossession
regenerate regeneration
toast toasting
intend intent
alternate alternation
integrate integration
thrust thruster
yacht yachting
shiver shivering
extract extractor
subside subsidence
mystify mystery
steer steerage
stonewall stonewalling
pretend pretending
crystallize crystal
control controller
color coloring
travel traveler
disbar disbarment
line lining
configure configuration
castrate castration
boost booster
originate origination
brew brewer
understate understatement
grumble grumbling
globalize globalization
usurp usurpation
detach detachment
sack sacking
account accountant
contract contraction
slice slicing
clot clotting
revise revision
defend defendant
rib ribbing
reconnoitre reconnaissance
sign signature
affiliate affiliation
finance financing
row rowing
image imaging
tease teaser
lodge lodgement
weave weaving
scheme schemer
categorize category
vacation vacationing
circulate circle
insist insistence
revoke revocation
celebrate celebration
hold holder
spin spinner
stagnate stagnation
clear clearing
restrict restriction
pilot piloting
save saver
invest investment
tear tearing
ice icing
complain complainant
redeem redemption
drum drummer
preserve preservation
silence silencer
sling slinging
charm charmer
steer steering
collect collection
decimate decimation
wade wading
dispense dispensary
edit editor
hurt hurting
frame framing
urge urging
long longer
stroke stroking
characterize characterization
coin coinage
reassign reassignment
levitate levitation
salute pledge
clock clocking
suffer suffering
deliver delivery
back backer
sign signing
disarm disarmament
arm armor
jot jotting
figure figuring
smart smarting
consist consistency
advocate advocacy
rob robbery
command commander
oppress oppressor
commit committee
distribute distributor
ostracize ostracism
desolate desolation
smile smiling
rationalize rationalization
wring wringer
pertain pertinence
transmit transmitter
void voiding
remit remission
fumigate fumigation
plant planter
tackle tackler
relieve reliever
web webbing
absent absence
undervalue undervaluation
flank flanker
enclose enclosing
joke joker
reshuffle reshuffling
act actor
bumble bumbler
taunt taunting
sight sighting
build building
tow towage
demonstrate demonstrator
opt option
multiply multiplication
elect electorate
drive driving
engage engagement
rehearse rehearsal
occupy occupation
interpret interpreting
overreact overreaction
consolidate consolidation
evict eviction
analyze analyst
creep creeping
annoy annoyance
coalesce coalition
hurdle hurdler
ride rider
consign consignee
purify purity
thrust thrusting
intend intention
beep beeper
frustrate frustration
encrypt encryption
dance dancer
equip equipment
gas gassing
ski skier
erect erection
form formation
visualize visualization
hurry hurrying
require requisition
comb combing
litigate litigation
flap flapping
ring ringing
publicize publicist
drink drunkard
dry drier
mutter muttering
infringe infringement
join juncture
perform performing
link linkage
compact compaction
prepay prepayment
oversimplify oversimplification
fragment fragmentation
sweep sweeper
jewel jewelry
bankrupt bankruptcy
patch patching
minimize minimum
issue issuing
clown clowning
plate plating
solicit solicitor
compose composing
disclose disclosure
hesitate hesitancy
retrench retrenchment
fester festering
enhance enhancement
send sending
motor motorist
ferment fermentation
avow avowal
solicit solicitation
sap sapper
desert deserter
rent renting
implant implantation
fall accrual
adjudicate adjudicator
bugger buggery
calibrate caliber
commute commuting
smuggle smuggling
retail retailing
present presentment
acquit acquittal
deliver deliverance
sink sinking
ascend ascension
ignore ignorance
attenuate attenuation
constitute constituent
page pager
proscribe proscription
quarry quarrying
tamper tampering
ship shipper
succeed successor
perpetrate perpetration
wither withering
tan tanning
mutilate mutilation
landscape landscaping
reform reformer
contaminate contamination
unveil unveiling
spell spelling
interpret interpreter
reciprocate reciprocation
consult consultation
repress repression
syndicate syndication
parent parentage
strike striker
pretend pretender
ferment fermenting
muse musing
purchase purchaser
pave paving
limit limitation
register registration
freight freighter
rearm rearmament
conquer conqueror
bury burial
deduce deduction
entitle entitlement
begin beginner
exhibit exhibition
pass passing
export exportation
foster fostering
decide decision
precede precedent
reveal revealing
sever severing
revolve revolution
aspire aspirant
down carry
repay repayment
bound bounder
haul haulage
cure curing
conduct conducting
wave waving
segment segmentation
atone atonement
mount mounting
sweeten sweetener
lose loser
coat coating
cleanse cleansing
fossilize fossil
size sizing
intercept interception
furnish furnishing
throb throbbing
season seasoning
neutralize neutralization
peel peeling
better betterment
grade grading
undo undoing
recede receding
espouse espousal
exploit exploiter
calculate calculation
obey obedience
vary variate
counsel counseling
mutate mutant
attach attachment
import importing
ease easing
retire retirement
disconnect disconnection
