TRAINING
accomplish accomplishment
solve solving
reside resident
convene convention
restate restatement
delegate delegation
snorkel snorkeling
advise adviser
regulate regulating
dine dinner
pave paving
shell shelling
assail assailant
sail sailing
refer referral
misread misreading
dominate dominance
circumnavigate circumnavigation
desecrate desecration
usurp usurper
give giving
tickle tickling
swell swelling
copy copier
perpetuate perpetuation
tick ticking
center centering
rent renting
cover coverage
speak speaking
rebut rebuttal
argue argument
install installing
grapple grappling
survive survival
fasten fastening
catch catcher
roof roofing
smoke smoking
woo wooing
cow coward
part parting
present presentation
skate skating
shirk shirking
mandate mandatory
embody embodiment
spread spreading
lynch lynching
tube tubing
insure insurer
fester festering
execute execution
spy spying
pretend pretense
demolish demolishing
diet dieting
remove remover
transform transformer
detect detecting
apply applicant
gamble gambling
bless blessing
choke choker
spoil spoilage
revise revising
interpret interpreting
worsen worsening
pillage pillaging
glide gliding
slide slider
grill grilling
purge purging
float floater
foil foiling
use user
illustrate illustration
smelt smelter
license licensee
crack cracking
amaze amazement
refer reference
yell yelling
portray portraying
taunt taunting
lunch lunching
long longing
inundate inundation
sneeze sneezing
evaporate evaporation
stipulate stipulation
initiate initiation
register registrant
abandon abandonment
hurry hurrying
recruit recruiter
negotiate negotiation
summarize summary
refocus refocusing
rinse rinsing
urinate urine
ward warder
annihilate annihilation
chase chaser
acquire acquisition
pass passer
strive striving
peruse perusal
row rowing
float flotation
investigate investigation
propose proposer
putt putter
beautify beauty
capitalize capital
liquefy liquefaction
slate slating
concede conceding
spot spotter
socialize socializing
explore explorer
sense sensing
rot rotting
detoxify detoxification
dispense dispenser
motivate motivation
coax coaxing
garden gardener
sing song
cool cooler
personify personification
depart departure
called calling
stain stainer
chip chipping
converge converging
bowl bowler
sound sounding
incarnate incarnation
incur incursion
plunge plunger
personify person
govern governor
eliminate elimination
pick picker
characterize character
set setting
connect connexion
strain strainer
pack packing
eat eater
snuggle snuggling
specialize specialist
disagree disagreement
disengage disengagement
conscript conscription
dislocate dislocation
scale scaling
depend dependency
account accounting
transfer transferral
bribe bribery
dispense dispensation
savor savoring
toboggan tobogganing
install installment
extort extortion
feed feeder
fall faller
oppose opponent
climb climber
integrate integrating
lift lifter
quarter quartering
bombard bombardment
exist existence
curl curler
model modeling
canton cantonment
cover reporting
depose deposition
decompress decompressing
bankrupt bankruptcy
probate probation
generate generation
standardize standard
advertise advertisement
oppose opposition
succeed succession
ship shipment
transmit transmitter
perform performer
debar debarment
commercialize commercialization
store storage
dictate dictation
dismiss dismissal
couple coupling
bind bindery
act actor
veer veering
order ordering
diversify diversity
waive waiver
sweeten sweetening
accuse accuser
browse browser
flog flogging
replenish replenishment
deal dealings
taper tapering
arrive arrival
deport deportee
amputate amputation
endow endowment
protect protector
populate population
howl howler
tell telling
bomb bombing
advise advisor
carpet carpeting
expatriate expatriation
cultivate cultivation
license licenser
replace replacing
paint painting
question questioning
tailor tailoring
devaluate devaluation
appraise appraiser
scour scouring
replace replacement
classify classification
televise television
spit spitting
awaken awakening
defoliate defoliation
green greenery
disappoint disappointment
exhibit exhibition
abstain abstinence
yawn yawner
abstain abstention
underwrite underwriter
harmonize harmonization
recuperate recuperation
raft rafter
secrete secretion
sift sifting
associate association
dampen dampening
monetize monetization
challenge challenger
seek seeking
offer offering
reassert reassertion
subject subjection
rob robbery
transship transshipment
glorify glory
relinquish relinquishment
wine winery
slam slammer
recalculate recalculation
disapprove disapproval
skate skater
modernize modernization
take taker
loot looter
exaggerate exaggeration
list listing
instrument instrumentation
suck suction
snort drug
detach detachment
accompany accompaniment
dig digging
cup cupping
furnish furnishing
decelerate deceleration
monopolize monopoly
vent venting
contribute contribution
procreate procreation
tutor tutelage
deregulate deregulation
expel expulsion
fit fitter
punt punting
defect defector
classify class
box boxing
sail sailor
master mastering
consider consideration
earn earnings
cuddle cuddling
prompt prompter
condition conditioner
divorce divorcee
shear shearing
strangle strangling
formulate formula
pitch pitching
precede precedent
resolve resolution
talk talker
steep steeper
amend amendment
coagulate coagulation
dwell dwelling
delude delusion
possess possessor
organize organizer
cheer cheering
shade shading
shop shopping
ignite ignition
commit commitment
interpret interpretation
convalesce convalescent
acquiesce acquiescence
molest molestation
recount recounting
resurge resurgence
melt melter
exhume exhumation
advertise advertiser
accelerate acceleration
tempt temptation
hedge hedging
compete competitor
stew stewing
disconnect disconnection
diffuse diffusion
detract detractor
shuffle shuffling
reunify reunification
mask masking
mature maturation
navigate navigation
complicate complication
receive receiver
sew sewing
elbow elbowing
tone toner
repair repairer
prostitute prostitution
jog jogger
infect infection
maltreat maltreatment
tan tannery
stow stowing
raise raiser
quadruple quadrupling
splash splashing
inform informant
tame tamer
migrate migration
slack slacker
gravitate gravity
reconstruct reconstruction
stretch stretcher
question questioner
involve involvement
survey surveying
recollect recollection
refuse refusal
light lighter
slip slippage
activate activation
interview interviewer
buzz buzzer
parachute parachuting
absorb absorbent
fluctuate fluctuation
electrify electricity
jeer jeering
combine combining
educate education
thump thumping
disembark disembarkation
tolerate toleration
inspect inspector
ostracise ostracism
thaw thawing
tumble tumbling
forecast forecasting
reconnoitre reconnoitring
dare daring
strain straining
ranch ranching
spill spillage
reduce reducer
rectify rectification
immunize immunization
motor motoring
line lining
speculate speculation
pen penning
strike striking
price pricing
stand stance
correlate correlation
act acting
wander wandering
fence fencer
commute commuter
acclimatise climate
pretend pretender
criticize critic
optimize optimum
cleave cleavage
cut cutter
pollute polluter
cover covering
wax waxing
detect detector
retard retardation
accentuate accent
acquire acquirer
name citation
encapsulate encapsulation
accumulate accumulation
astonish astonishment
install installation
think thinking
impersonate impersonation
thin thinning
pale pallor
clinch clincher
file filer
absorb absorption
unite union
improve improver
swindle swindler
underperform underperformer
auction auctioneer
equalize equalizer
film filming
die death
beautify beautification
reckon reckoning
orphan orphanage
grant grantor
vaporize vapor
push pusher
generate generator
resolve resolving
strengthen strengthening
reexamine reexamination
energize energizing
crystallize crystal
nurse nursing
serve serving
douse dousing
lag laggard
sparkle sparkler
headline headliner
flutter fluttering
detect detection
prospect prospector
victimize victim
roll roller
season seasoning
cloud clouding
combat combatant
frustrate frustration
fumigate fumigation
merge merger
save savings
assign assignation
retrieve retrieval
enter entrance
rob robber
wave waver
reap reaper
displease displeasure
instigate instigator
log logging
demote demotion
stitch stitching
mark marking
refill refilling
endorse endorser
machine machinery
analyze analysis
straggle straggler
empty emptying
repair reparation
brace bracing
blast blaster
agonize agony
violate violation
brew brewery
despise despising
distill distillery
erode eroding
spot spotting
confederate confederation
long longer
net netting
trim trimmer
incriminate incrimination
voyage voyager
wreck wrecking
suppose supposition
shoot shooter
integrate integral
surf surfer
float floating
govern governance
publicize publicizing
rejoice rejoicing
scream screaming
clot clotting
seep seepage
pit pitting
create creation
flower flowering
discuss discussion
wear wearing
rewrite rewriting
jerk jerking
eventuate event
perspire perspiration
repress repression
reform reformation
indent indenture
exclude exclusion
conquer conquering
blackmail blackmailer
number numbering
theorize theory
proceed procedure
defer deferral
militarize militarization
satisfy satisfaction
catalyze catalyst
accuse accusation
trounce trouncing
certify certification
deepen deepening
add addition
fight fighting
overpay overpayment
describe description
misinterpret misinterpretation
tick ticker
torture torturing
terrorize terror
solidify solidifying
deride derision
eavesdrop eavesdropper
contract contracting
produce product
found founding
revolve revolution
debate debater
vaccinate vaccination
think thinker
suffice sufficiency
offend offense
allocate allocation
emerge emergence
invade invader
sew sewer
image imagery
ascend ascent
magnify magnifier
abduct abductor
spend spending
ruminate ruminant
privatize privatization
foot footer
fumigate fume
retire retirement
warm warmer
fry frying
react reaction
explain explanation
manage manager
dissolve dissolving
hurdle hurdling
dive diver
employ employment
expect expectancy
boil boiler
kiss kissing
equalize equalization
pant panting
feign feigning
brief briefing
discover discovery
salt salting
divert diversion
cleanse cleanser
debrief debriefing
carve carving
insure insurance
show showing
export exporter
screw bed
float floatation
debunk debunking
print printer
enter entrant
discount discounter
commute commutation
insert insertion
propose proposition
amplify amplifier
post postage
remain remnant
jot jotting
join junction
dock dockage
ascribe ascription
switch switching
abet abetment
spatter spattering
promote promoter
indemnify indemnity
swerve swerving
oscillate oscillation
employ employee
shadow shadowing
deify deity
nurse nursery
hunt hunting
win winning
regulate regulation
attribute attribution
say saying
pick pickings
mop mopping
reinsure reinsurance
triple tripling
reflect reflector
recognize recognition
squeeze squeezing
acclaim acclamation
plod plodding
heal healing
infuriate fury
whack whacking
mistreat mistreatment
row rower
mitigate mitigation
vaccinate vaccine
attend attendance
mock mockery
adjust adjustment
fill filling
weld welding
communicate communication
blow blower
project projection
compensate compensation
box boxer
pervert perversion
wholesale wholesaler
locate locator
tape taping
assist assistance
poison poisoning
dilute dilution
sling slinging
anoint anointment
defoliate defoliant
draft drafting
harvest harvester
hack hacker
inhale inhalation
recover recovery
tighten tightening
appear appearance
convert converter
retire retiree
intermediate intermediation
go going
remember remembrance
receive reception
seduce seducer
board boarder
defile defilement
pack packer
compare comparison
find finding
savage savagery
compress compressing
reforest reforestation
research researcher
escape escapist
pension pensioner
snipe sniper
mine miner
destroy destroyer
harmonize harmony
surround surroundings
act action
sting stinger
sprinkle sprinkler
impress impression
empower empowerment
rope roping
swathe swathing
arbitrate arbitration
recycle recycling
facilitate facilitator
steer steering
lock locker
pollute pollutant
quicken quickening
thicken thickening
denigrate denigration
vindicate vindication
implode implosion
riot rioting
mesh meshing
conclude conclusion
unionize union
seat seating
patent patentee
radiate radiance
replicate replication
manipulate manipulation
chew chewing
pun punning
dig digger
exempt exemption
invest investing
reorganize reorganization
deviate deviant
oxygenate oxygen
remember remembering
remarry remarriage
sled sledding
walk walker
dilate dilatation
wilt wilting
conciliate conciliation
transmit transmittal
consult consultant
wait waiting
polish polishing
punctuate punctuation
misrepresent misrepresentation
direct place
rouse rousing
clean cleaner
heave heaver
relegate relegating
curl curling
dress dressing
daub daubing
deploy deployment
heal healer
intercept interceptor
convoke convocation
terminate terminus
instruct instructor
sniff sniffer
adhere adhesion
measure measurer
skim skimming
defer deference
transpose transposition
ripple rippling
stand standard
accept acceptance
unmask unmasking
thicken thickener
torment tormentor
exhaust exhaustion
sediment sedimentation
invite invitation
brainstorm brainstorming
equate equator
tax taxer
invert inverter
moor mooring
employ employer
divest divestiture
syndicate syndicator
interfere interference
develop development
simplify simplification
sanctify saint
collect collector
sort sorting
intrude intruder
professionalize professionalization
interview interviewee
farm farming
weaken weakening
supplant supplanting
surface surfacing
conduct conductor
launder laundry
relate relation
live living
initiate initiator
follow following
orchestrate orchestra
subvert subversion
compassionate compassion
sympathize sympathy
emigrate emigration
wear wearer
sprint sprinter
issue issuer
embrace embracing
assign assignee
vault vaulting
sweep sweeping
shore shoring
reach reaching
extinguish extinction
integrate integrator
avert aversion
modify modification
graduate graduation
state statement
punt punter
track tracker
liberate liberator
hold holding
banish banishment
compose composer
drug drugging
restore restorer
sing singing
untangle untangling
wink winking
detract detraction
aspire aspirant
transfer transferor
deliver delivery
orchestrate orchestration
cause causation
instill instilling
export exportation
yacht yachting
close closing
function functioning
monopolize monopolist
crowd crowding
pasteurize pasteurization
court courting
advise advisory
concede concession
cut cutting
communicate communicating
circulate circular
negate negation
bottle bottler
demonstrate demonstrator
wreck wrecker
nourish nourishment
retract retractor
promote promotion
fingerprint fingerprinting
reconcile reconciliation
purchase purchasing
shrink shrinking
package packaging
beat beating
edge edging
bake baker
harvest harvesting
chart chartist
broker brokerage
oppress oppressor
impoverish impoverishment
maintain maintenance
upend upending
escape escapee
arm armament
decorate decoration
dress dresser
disburse disbursal
persist persistency
seduce seduction
idle idler
transplant transplanting
underestimate underestimation
ferment fermenting
jostle jostling
defame defamation
differentiate differentiator
overtake overtaking
handle handling
slack slacking
grow grower
overheat overheating
bargain bargaining
market marketing
convene convening
save savior
assert assertion
sprout sprouting
pick picking
cobble cobbling
carbonate carbonation
lower lowering
duplicate duplication
split splitter
settle settler
incubate incubator
clamor clamoring
degenerate degeneration
reincarnate reincarnation
digest digestion
transgress transgression
readmit readmission
spar sparring
bump bumper
roast roaster
approve approval
mat matting
assist assistant
aspire aspiration
inject injection
elevate elevator
muffle muffler
slave slavery
conceal concealing
justify justification
expend expenditure
coach coaching
comment commentary
help helper
humiliate humiliation
drive drift
stroll stroller
economize economy
till tillage
encode encoding
make maker
expose exposure
prompt prompting
deflate deflator
fruit fruition
convey conveyer
photocopy photocopier
dine diner
replicate replica
diminish diminution
listen listener
repudiate repudiation
review reviewer
radiate radiation
campaign campaigner
enforce enforcement
compile compiling
shatter shattering
staple stapler
mellow mellowing
love lover
narrow narrowing
reveal revealing
tap tapping
wait waiter
cooperate cooperation
call caller
march marcher
recede recession
conform conformance
operate operator
baffle mystery
disinvest disinvestment
redefine redefinition
sin sinner
carry carriage
bet better
require requirement
command commandment
oppress oppression
test testing
expend expending
qualify quality
interconnect interconnection
coordinate coordination
appraise appraisal
index indexation
factor factoring
crack cracker
motivate motivator
fix fixing
stockpile stockpiling
eat eating
beep beeper
yield yielding
commence commencement
iron ironing
unionize unionization
attend attention
examine examinee
detail detailing
watch watching
suppress suppressor
ride riding
compel compulsion
resettle resettlement
embarrass embarrassment
strip stripping
design designer
scoot scooter
sell seller
transport transporter
block blocker
avenge avenger
commission commissioner
tie tier
cluster clustering
impute imputation
conglomerate conglomeration
retrospect retrospection
ration rationing
precipitate precipitator
translate translator
fly flyer
strip stripper
tend tending
baptise baptism
expound expansion
rub rubbing
revitalize revitalization
supplement supplementation
imply implication
begin beginning
rival rivalry
deduct deduction
theorise theory
absorb absorber
carpenter carpentry
function functionary
fossilize fossil
smell smelling
wander wanderer
surf surfing
buy buyer
inflate inflation
retail retailer
compose composing
portray portrayal
subsidize subsidy
register registration
word wording
rail railing
persuade persuader
believe belief
achieve achiever
see seeing
plan planning
resurrect resurrection
plow plowing
green greening
translate translation
infuse infusion
design designing
falsify falsifying
focus focussing
seal sealant
work worker
referee refereeing
engrave gravure
overestimate overestimation
emulate emulation
cook cookery
nest nester
hunt hunter
oversee overseer
denounce denouncement
convey conveying
govern government
typify type
write writer
disenfranchise disenfranchisement
enforce enforcer
charge charger
kindle kindling
stripe striping
chill chilling
rally rallying
hijack hijacker
process processor
swim swimming
fish fishing
build builder
rush rusher
err error
please pleaser
compose composition
curtail curtailment
wet wetting
shape shaping
intoxicate intoxication
seize seizure
institute institution
schedule scheduler
stunt stunting
push pushing
condescend condescension
recruit recruitment
inhibit inhibitor
trace tracing
pack package
recant recantation
resuscitate resuscitation
reverse reversal
lead leader
schedule scheduling
down carry
devalue devaluation
maximize maximum
profane profanation
cycle cyclist
agitate agitator
deregulate deregulating
depress depressant
stuff stuffing
coincide coincidence
dribble dribbling
walk walking
dive diving
certify certificate
study student
rescind rescission
ascend ascendancy
solicit solicitor
object objection
jewel jewelry
bind binder
crave craving
induce inducement
scoff scoffing
raze razing
salvage salvager
flank flanker
steam steamer
code coding
loot looting
execute executing
brawl brawler
wheel wheeling
disparage disparagement
abound abundance
confide confidant
diet dietary
mumble mumbling
fade fading
conceive conception
drive driver
revalue revaluation
please pleasing
ventilate vent
cast caster
contend contention
bag bagging
disinvest undress
hinder hindrance
intrude intrusion
lag lagging
mountaineer mountaineering
rehabilitate rehabilitation
guarantee guarantor
recommence recommencement
elope elopement
house housing
head heading
fix fixture
disclaim disclaimer
dispossess dispossession
intensify intensity
detonate detonation
emigrate emigrant
dwindle dwindling
deter deterrent
coordinate coordinator
edit editing
trumpet trumpeter
meddle meddler
depict depicting
immigrate immigrant
wish wishing
revolt revolution
cover report
pelt pelting
sign signer
engineer engineering
mug mugging
squat squatting
dream dreamer
resume resumption
buy buying
computerize computerization
litigate litigant
reject rejection
ebb ebbing
record recorder
prowl prowler
print printing
perfume perfumery
mug mugger
appear apparition
declare declaration
engrave engraving
pacify pacification
ripen ripening
occupy occupancy
pollinate pollination
wed wedding
amortize amortization
determine determinant
share sharing
derive deriving
segment segmentation
inoculate inoculation
abort abortion
drill drilling
execute executor
dilate dilation
consolidate consolidation
cannibalize cannibal
vibrate vibrancy
vanish vanishing
shout shouting
originate origin
retaliate retaliation
stir stirring
detonate detonator
devise devising
fail failing
fix fixer
percolate percolation
pipe piping
mate mating
decorate decor
assassinate assassination
rebury reburial
interdict interdiction
deliberate deliberation
transplant transplantation
intimidate intimidation
reiterate reiteration
update updating
fragment fragmentation
dream dreaming
render rendering
observe observer
leak leakage
reappear reappearance
mutiny mutineer
devolve devolution
wane waning
deal dealing
repatriate repatriation
commission commissioning
dispose disposition
forward forwarding
hoax hoaxer
suggest suggestion
regress regression
plead pleading
prioritize priority
grind grinder
merchandise merchandiser
dance dancing
parcel parceling
discover discoverer
demonize demon
constitute constitution
prime primer
relive reliving
quack quackery
observe observance
arrest arrester
elude eluding
drive driving
use usage
stone stoning
can cannery
pursue pursuance
sweat sweating
exert exertion
centralize centralization
revolve roll
evacuate evacuation
confine confinement
watch watcher
bid bidder
rig rigging
transform transformation
roll rolling
tend tender
nullify nullification
ruminate rumen
validate validation
irritate irritant
comply compliance
let lessor
utilize utilization
desalinate desalination
steamroll steamroller
mold molding
growl growling
capitulate capitulation
incinerate incineration
enlist enlisting
feel feeling
string stringer
disfigure disfigurement
flow flowing
enclose enclosure
sprawl sprawling
sequester sequestration
arrange arrangement
move motion
induct induction
tail tailing
develop developing
vacate vacation
shake shaker
pigment pigmentation
ski skier
be being
pollute pollution
freshen freshener
predispose predisposition
liberate liberation
paint painter
huff huffing
document documentation
listen listening
consume consumer
activate activator
implement implementation
compile compiler
defuse defusing
migrate migrant
agree agreement
cry crying
guide guidance
abolish abolition
dismantle dismantlement
poke poking
intervene intervention
meditate meditation
operate operation
conspire conspiracy
case casing
exhaust depletion
obligate obligation
knock knocker
orbit orbiter
pirate piracy
head header
stagnate stagnancy
refer name
enlighten enlightenment
assess assessment
irritate irritation
grate grating
stabilize stabilization
equate equation
bifurcate fork
assassinate assassin
calculate calculator
breed breeder
place placement
frisk frisking
procrastinate procrastination
flatter flattery
equip equipment
second secondment
train trainer
collide collision
deconstruct deconstruction
collect collecting
levitate levitation
allow allowance
crystalize crystal
exploit exploitation
manipulate manipulator
repent repentance
groom grooming
stack stacker
disgorge disgorgement
diverge divergence
climb climbing
distill distillate
survey surveyor
denominate denomination
legislate legislature
dissent dissenter
devote devotee
depreciate depreciation
shop shopper
redistribute redistribution
marry marriage
predominate predominance
protest protester
fly flier
ingest ingestion
declassify declassification
disbelieve disbeliever
produce producer
predict predictor
compute computer
freeze freezing
illustrate illustrator
whistle whistling
ally alliance
deal dealer
ravage ravaging
post poster
materialize materialization
verify verification
impair impairment
reorient reorientation
outfit outfitter
snoop snooper
suffocate suffocation
waver wavering
rock rocker
reinstate reinstatement
repel repellant
peruse perusing
spur spurring
induce induction
deprive deprivation
butcher butchery
run running
picture picturing
inform information
imitate imitator
computerize computer
rescue rescuer
pay payment
cancel cancellation
smash smashing
turn turning
insulate insulator
incinerate incinerator
educate educator
unite uniting
summon summoning
sour souring
rise rising
receive receptor
flap flapping
multiply multiplier
circulate circulation
fascinate fascination
tell tale
punish punishment
nominate nomination
cast casting
root rooting
sensitize sensitizer
attract attraction
value valuer
widen widening
perfect perfection
disburse disbursement
preach preacher
credit creditor
launch launcher
exhibit exhibitor
embezzle embezzlement
disillusion disillusionment
borrow borrower
judge judiciary
conserve conservation
concord concurrence
venture venturer
carry carrier
jeopardize jeopardy
abduct abduction
excavate excavator
offend offender
relax relaxant
conjure conjuring
animate animator
believe believer
revel revelry
write writing
suppress suppression
motivate motive
bleed bleeder
shave shaver
cycle cycling
express expression
hum humming
repute reputation
respect respecter
warn warning
deactivate deactivation
reproduce reproduction
battle battler
compose composure
extract extraction
ratify ratification
monopolize monopolization
bicycle bicyclist
drain drainage
burglarize burglary
jam jamming
solve solution
heckle heckler
name naming
mourn mourning
energize energy
legislate legislation
ski skiing
flute fluting
load loading
calibrate calibration
phrase phrasing
conjure conjurer
enact enactment
dissipate dissipation
expropriate expropriation
liberate liberty
convalesce convalescence
disavow disavowal
vault vaulter
unload unloading
subscribe subscriber
rebel rebellion
forecast forecaster
congregate congregation
mix mixture
train training
encourage encouragement
pilot pilotage
transfer transference
march marching
adorn adornment
visualize visualization
refuel refueling
ready readying
repossess repossession
regenerate regeneration
toast toasting
intend intent
alternate alternation
provide provision
tow tower
improvise improvisation
shiver shivering
prosecute prosecutor
subside subsidence
invest investiture
steer steerage
stonewall stonewalling
repay repayment
falcon falconry
murder murderer
color coloring
travel traveler
refine refiner
investigate investigating
configure configuration
castrate castration
trust trustee
originate origination
determine determination
understate understatement
grumble grumbling
globalize globalization
usurp usurpation
render rendition
sack sacking
account accountant
contract contraction
infiltrate infiltration
smoke smoker
revise revision
defend defendant
rib ribbing
reconnoitre reconnaissance
resist resistance
affiliate affiliation
finance financing
relocate relocation
image imaging
tease teaser
lodge lodgement
weave weaving
scheme schemer
categorize category
trail trailer
circulate circle
disable disablement
revoke revocation
hatch hatchery
hold holder
spin spinner
stagnate stagnation
clown clowning
uplift uplifting
specify specification
save saver
please pleasure
tear tearing
ice icing
undertake undertaking
except exception
miniaturize miniaturization
preserve preservation
silence silencer
seal sealer
handicap handicapper
ferment fermentation
collect collection
decimate decimation
mystify mystery
terminate termination
edit editor
hurt hurting
frame framing
urge urging
deter deterrence
stroke stroking
despair desperate
shoot shooting
reassign reassignment
dissemble dissembling
salute pledge
clock clocking
suffer suffering
disinfect disinfectant
back backer
sign signing
disarm disarmament
arm armor
ostracize ostracism
figure figuring
predict prediction
deduce deduction
thin thinner
germinate germination
command commander
inform informing
commit committee
sputter sputtering
post posting
desolate desolation
smile smiling
rationalize rationalization
wring wringer
pertain pertinence
destroy destruction
ignore ignorance
remit remission
refine refining
plant planter
tackle tackler
relieve reliever
web webbing
savor relish
effectuate effect
flash flashing
enclose enclosing
announce announcement
draft draftee
vaccinate vaccinating
bumble bumbler
live liver
sight sighting
build building
scrub scrubbing
insist insisting
recommend recommendation
multiply multiplication
elect electorate
dispose disposal
engage engagement
rehearse rehearsal
occupy occupation
reimpose reimposition
coin coinage
synchronize synchronizing
evict eviction
analyze analyst
creep creeping
dine dining
splinter splintering
hurdle hurdler
ride rider
consign consignee
purify purity
thrust thrusting
integrate integration
happen happening
soldier soldiering
water watering
plumb plumbing
fold folder
gas gassing
spank spanking
erect erection
form formation
pass passing
panel paneling
require requisition
wake waking
fuel fueling
thrash thrashing
direct directive
gut gutter
drink drunkard
dry drier
mutter muttering
page paging
join juncture
compute computation
link linkage
compact compaction
prepay prepayment
grow growing
germinate germ
sweep sweeper
fortify fortification
talk talking
patch patching
minimize minimum
issue issuing
relapse relapsing
plate plating
frost frosting
miniaturize miniature
sap sapper
kidnap kidnapping
retrench retrenchment
lecture lecturer
enhance enhancement
fast fasting
motor motorist
originate originator
avow avowal
solicit solicitation
disbar disbarment
desert deserter
hawk hawker
implant implantation
fall accrual
adjudicate adjudicator
contemplate contemplation
prod prodding
commute commuting
revere reverence
murmur murmuring
present presentment
acquit acquittal
deliver deliverance
qualify qualification
ascend ascension
pry prying
attenuate attenuation
constitute constituent
page pager
proscribe proscription
quarry quarrying
dredge dredger
ship shipper
succeed successor
perpetrate perpetration
graft grafting
tan tanning
train trainee
landscape landscaping
take taking
travel traveling
unveil unveiling
spell spelling
deflect deflection
reciprocate reciprocation
hang hanging
liquify liquid
syndicate syndication
control controller
pronounce pronouncement
monitor monitoring
choke choking
muse musing
purchase purchaser
lodge lodging
limit limitation
crawl crawling
freight freighter
rearm rearmament
conquer conqueror
bury burial
gloat gloating
entitle entitlement
begin beginner
merge merging
tense tension
exonerate exoneration
foster fostering
decide decision
cleave cleaver
wrestle wrestling
sever severing
construct construction
loosen loosening
default defaulter
line liner
wade wading
move movement
cure curing
dissuade dissuasion
sparkle sparkling
enjoy enjoyment
atone atonement
mount mounting
sweeten sweetener
import importer
detain detention
cleanse cleansing
waste waster
size sizing
repeat repeating
discontent discontentment
stimulate stimulant
found foundation
neutralize neutralization
peel peeling
better betterment
grade grading
undo undoing
recede receding
bank banker
exploit exploiter
calculate calculation
reallocate reallocation
vary variate
officiate office
mutate mutant
attach attachment
twist twister
reclaim reclamation
