TRAINING
disinvest undress
repair repairer
advise advisor
sum summation
ratify ratification
number numbering
ferry ferrying
reallocate reallocation
spoil spoiler
erode eroding
ring ringer
monetize monetization
act acting
stack stacker
glamorize glamorization
reduce reducing
research researcher
highlight highlighting
snuggle snuggling
motivate motivation
refer name
initiate initiation
deflect deflection
conduct conductor
cancel cancellation
remember remembrance
sign signature
wade wading
move movement
reevaluate reevaluation
temper tempering
chicane chicanery
jerk jerking
pass passer
arrange arrangement
link linkage
bankrupt bankruptcy
bumble bumbler
complain complaint
realize realization
play playing
recuperate recuperation
certify certification
solicit solicitation
substantiate substantiation
light lighter
dry drier
disembark disembarkation
pad padding
port porter
dream dreaming
describe description
tile tiling
pilfer pilferage
breed breeder
thin thinner
survive survival
skate skating
roll rolling
live living
shuffle shuffling
disinvest disinvestment
acclimatise climate
liquidate liquidator
characterize characterization
elaborate elaboration
subsidize subsidy
flower flowering
alter alteration
deport deportation
fork forking
transfer transference
constrict constrictor
challenge challenger
court courting
culminate culmination
congregate congregation
account accounting
lubricate lubrication
resign resignation
originate origination
point pointer
belong belongings
snort drug
strike striker
cup cupping
trim trimmer
question questioner
widen widening
tremble trembling
rediscover rediscovery
peruse perusal
squat squatter
fire firing
block blocker
cohabit cohabitation
pick picker
truck trucking
photocopy photocopier
decorate decor
buy buying
defoliate defoliant
scream screaming
falsify falsifying
incinerate incineration
idle idler
smuggle smuggler
install installment
exist existence
streak streaker
clot clotting
ruminate ruminant
offer offering
feast feasting
foreclose foreclosure
substitute substituting
strain strainer
smooth smoother
ignite ignition
salt salting
evolve evolution
finalize finalization
ripen ripening
block blocking
mail mailing
signal signaling
codify code
please pleaser
circumvent circumvention
agree agreement
generate generator
despise despising
connect connector
inter interment
dance dancing
preach preaching
soften softening
orbit orbiter
enhance enhancer
scaffold scaffolding
bound bounder
theorise theory
throb throbbing
redeploy redeployment
lease lessee
notify notification
aggregate aggregator
spot spotting
motor motorist
bear bearer
prick pricking
forge forger
prefer preference
confer conference
jostle jostling
fly flier
solve solving
itemize item
improve improver
inflate inflation
categorize category
instrument instrumentation
ostracise ostracism
stay stayer
neutralize neutralization
admonish admonition
diagnose diagnosis
nourish nourishment
consult consultation
hurry hurrying
rear rearing
find finder
ferment fermenting
withdraw withdrawal
dispose disposal
screen screener
impress impression
ski skier
puff puffing
advertise advertisement
classify classification
preoccupy preoccupation
fuse fusion
argue argumentation
suspend suspender
comb combing
activate activation
cite citation
stamp stamper
conclude conclusion
prevail prevalence
terminate terminus
divide division
perpetuate perpetuation
interpret interpretation
howl howler
overpay overpayment
dig digger
derogate derogation
simplify simplification
jam jamming
intrude intrusion
repeat repeating
protect protector
suffocate suffocation
parachute parachuting
motor motoring
compose component
doubt doubter
amend amendment
deify deity
appear appearance
sin sinner
sing singer
avow avowal
tend tendency
fabricate fabrication
void voiding
inquire inquiry
reunify reunion
grapple grappling
haggle haggling
cover reportage
celebrate celebrant
choke choker
coincide coincidence
overlap overlapping
dissolve dissolving
digest digestion
originate origin
discover discovery
long longing
abduct abductor
assure assurance
fasten fastening
exert exertion
commune communion
slip slippage
unify unit
bet better
subdivide subdivision
oppress oppression
persist persistency
fascinate fascination
elbow elbowing
win winner
stripe striping
miniaturize miniaturization
expound expansion
tickle tickling
end ending
emigrate emigrant
legislate legislator
exhume exhumation
advise adviser
procrastinate procrastination
convene convening
image imagery
nullify nullification
subjugate subjugation
pretend pretense
humiliate humiliation
collect collection
manifest manifestation
head header
disfigure disfigurement
convey conveyance
conciliate conciliator
dump dumping
lever leverage
propagate propagation
derive deriving
design designing
counsel counseling
conceal concealing
traffic trafficker
curtail curtailment
oust ouster
condense condensation
evacuate evacuation
float floating
unionize unionization
dissipate dissipation
restore restorer
eliminate elimination
hum humming
style stylist
vary variate
deregulate deregulation
commit commission
fortify fortification
invent inventor
merchandise merchandising
transpose transposition
gather gatherer
pacify peace
trick trickery
facilitate facilitation
think thinking
stipulate stipulation
concede concession
swell swelling
index indexation
peruse perusing
speak speech
speculate speculation
raze razing
suffer suffering
legislate legislation
landscape landscaping
dispose disposition
reconstruct reconstruction
order ordering
miscalculate miscalculation
specialize specialization
buff buffer
follow following
cry crying
insure insurance
underperform underperformer
counteract counteraction
disintegrate disintegration
establish establishment
send sender
gravitate gravitation
formulate formulation
fill filling
strike striking
maintain maintenance
contend contention
perpetrate perpetrator
shred shredder
store storage
supplement supplementation
jeer jeering
reconsider reconsideration
rotate rotation
refuel refueling
collaborate collaborator
dilate dilatation
perpetrate perpetration
code coding
stitch stitcher
manipulate manipulation
govern governor
disown disowning
tune tuner
space spacing
wait waiter
ruin ruining
back backer
complicate complication
abstain abstention
graduate graduation
foil foiling
monitor monitoring
pollute polluter
forge forging
standardize standard
claim claimant
haul haulage
repute reputation
appeal appellant
format formatting
revert reverting
compress compression
travel traveler
revolt revolution
serve servant
define definition
correct correction
utilize utilization
manage manager
patent patentee
underpay underpayment
help helper
utilize utility
select selector
deposit depositor
observe observer
drift drifting
atone atonement
internationalize internationalization
announce announcer
assign assignation
proceed proceeding
reproduce reproduction
incinerate incinerator
subside subsiding
gloat gloating
magnify magnifier
decay decadent
wrangle wrangling
pipe piper
stun stunner
derail derailment
flavor flavoring
clip clipper
seize seizing
tense tension
taunt taunting
arouse arousal
convoke convocation
impart imparting
bury burial
spin spinner
give giver
guess guessing
remind reminder
groom grooming
rattle rattling
patronize patron
ebb ebbing
listen listener
promulgate promulgation
polish polisher
gamble gambling
slam slammer
refresh refresher
intervene intervention
preside president
differentiate difference
rave raving
exaggerate exaggeration
descend descent
evaporate vapor
phrase phrasing
concur concurrence
canton cantonment
irrigate irrigation
remain continuation
disinfect disinfectant
clamor clamoring
hijack hijacking
harmonize harmony
whip whipping
untangle untangling
weld welding
bind bindery
vanish vanishing
impersonate persona
reshuffle reshuffling
transport transporter
reinsure reinsurance
acquiesce acquiescence
repossess repossession
coast coaster
erect erection
wed wedding
pace pacing
indent indenture
erupt eruption
mitigate mitigation
roar roaring
commission commissioner
seal sealer
assign assignment
refer referral
solidify solidifying
succeed successor
suspect suspicion
devastate devastation
modernize modernization
wink winking
whistle whistling
quarter quarters
hike hiker
unite union
nest nester
command commandant
count counter
fry frying
provoke provocation
recruit recruiter
wean weaning
promote promoter
synthesize synthesizer
reorient reorientation
withhold withholding
earn earner
muffle muffler
calculate calculus
integrate integrating
motivate motivator
tip tipper
shine shining
mix mixture
precipitate precipitator
sell selling
reunify reunification
dispense dispensation
summarize summary
congratulate congratulation
anticipate foreboding
endorse endorser
brawl brawler
illustrate illustration
plan planning
spread spreading
transship transshipment
tint tinting
incur incurring
dangle dangling
see seer
discriminate discrimination
reach reaching
tour tourist
separate separation
reside residency
amalgamate amalgam
lodge lodgings
refresh refreshment
mark marking
machine machinist
train trainer
wilt wilting
transport transportation
reconnoitre reconnaissance
breathe breathing
survey surveyor
appraise appraisal
spot spotter
skate skater
spank spanking
swim swimming
spy spying
coordinate coordinator
amortize amortization
astonish astonishment
send sending
prostitute prostitution
conserve conservation
worsen worsening
model modeling
pry prying
pronounce pronouncement
synchronize synchronizing
consider consideration
desecrate desecration
center centering
sparkle sparkler
save savings
wither withering
talk talker
volunteer voluntary
garden gardener
contract contraction
suppress suppressor
arrange arranger
howl howling
bite biter
retain retention
confront confrontation
tap tapper
rate rating
conjure conjuring
splinter splintering
secede secession
encode encoding
hang hanger
close closer
generate generation
dominate domination
lower lowering
execute execution
distract distraction
negate negation
fit fitting
occupy occupation
live liver
spin spinning
hedge hedging
tackle tackler
lodge lodger
knit knitting
affirm affirmation
relocate relocation
huff huffing
steep steeper
transmit transmitter
swerve swerving
believe believer
tow tower
deflate deflation
mystify mystification
document documentation
survive survivor
tease teaser
render rendition
assist assistant
pair pairing
paper papering
whir whirring
field fielder
sting stinger
radiate radiator
scour scouring
populate population
judge judiciary
accompany accompaniment
track tracker
swear swearing
cool cooler
overproduce overproduction
standardize standardization
disappear disappearing
debar debarment
dock dockage
plow plowing
induct induction
kidnap kidnapping
discontent discontentment
daub daubing
sparkle sparkling
ration rationing
plate plating
annul annulment
govern governance
cook cookery
evict eviction
control controller
ranch ranching
cross crossing
march marcher
baptise baptism
build building
loot looter
confirm confirmation
educate education
examine examiner
indulge indulging
evaporate evaporation
boil boiler
bag bagging
tolerate tolerance
lighter lighterage
employ employment
dress dresser
rejoice rejoicing
defame defamation
mutiny mutineer
hedge hedger
probate probation
pervert perversion
reappraise reappraisal
dispense dispensary
pitch pitching
spray spraying
conform conformance
designate designation
deal dealer
trail trailing
carry carriage
dirty dirtying
lean leaner
roof roofing
achieve achievement
deport deportee
portend portent
reckon reckoning
bugger buggery
separate separator
kick kicking
disbar disbarment
fail failure
relieve reliever
question questioning
oversimplify oversimplification
persuade persuader
pilot pilotage
determine determination
multiply multiplication
classify class
adjudicate adjudicator
retract retraction
deflate deflator
shoot shooter
consign consignee
swing swinging
drive driver
poison poisoning
read reader
mop mopping
manufacture manufacturer
bank banker
fall accrual
spur spurring
whirl whirling
heave heaver
confine confinement
stir stirring
bombard bombardment
rescind rescission
serve serving
promote promotion
intimidate intimidation
falcon falconry
chew chewing
limit limitation
bellow bellowing
commit committal
disapprove disapproval
reform reformer
liquify liquid
poke poking
excavate excavation
kindle kindling
deteriorate deterioration
pigment pigmentation
glorify glorification
shirk shirking
investigate investigating
cleave cleavage
negotiate negotiation
let lessor
snap snapper
equate equating
ransack ransacking
judge judgment
enjoin enjoining
rehearse rehearsal
retrench retrenchment
assess assessment
remit remittance
wound wounding
concentrate concentration
accelerate acceleration
submerge submerging
defuse defusing
liberalize liberalization
optimize optimization
purify purification
irritate irritant
edit editing
mug mugger
devaluate devaluation
yawn yawner
knock knocking
yearn yearning
recruit recruitment
cleave cleft
beep beeper
log logging
revise revision
bounce bouncer
dampen dampener
harass harassment
shape shaping
assassinate assassin
part parting
nominate nomination
disappoint disappointment
bloom bloomer
explore explorer
fight fighting
season seasoning
discontinue discontinuation
collide collision
launch launcher
resemble resemblance
preserve preservation
ready readying
portray portraiture
administrate administrator
pronounce pronunciation
inhale inhalation
undress strip
waterproof waterproofing
accuse accusation
borrow borrower
develop developing
visit visiting
determine determinant
solve solver
pale pallor
detract detractor
mystify puzzle
register registry
take taker
recite recitation
compact compaction
align alignment
perceive perception
stonewall stonewalling
diminish diminution
revolutionize revolution
green greenery
sift sieve
ascend ascent
coin coinage
despair desperate
invert inverter
water watering
accommodate accommodation
coexist coexistence
move motion
foster fostering
instruct instructor
screen screening
wish wishing
get getting
debate debater
schedule scheduling
proliferate proliferation
retrospect retrospection
segregate segregation
exchange exchanger
reassert reassertion
crave craving
garden gardening
profane profanation
arrive arrival
eject ejection
cooperate cooperation
organize organization
falter faltering
aggravate aggravation
detail detailing
paint painting
fall faller
readjust readjustment
flute fluting
relegate relegating
insulate insulator
irradiate irradiation
pension pensioner
refine refiner
vindicate vindication
truck trucker
encrypt encryption
time timer
commute commutation
emigrate emigration
diversify diversity
consume consumer
grade grading
moderate moderation
wet wetter
retire retirement
participate participation
sedate sedation
push pusher
reaffirm reaffirmation
name naming
inhibit inhibitor
hesitate hesitation
fix fixture
triple tripling
repeat repetition
scrub scrubber
judge judging
delineate delineation
advocate advocacy
travel traveling
implement implementation
process processing
tighten tightening
supply supplying
condense condensate
steer steering
further furtherance
interconnect interconnection
dispute disputation
oscillate oscillation
calibrate calibration
procure procurer
value valuer
rumble rumbling
sediment sedimentation
turn turner
pant panting
abstract abstraction
haul hauling
fester festering
note notation
amplify amplifier
pass passing
extract extraction
insist insistence
picture picturing
suggest suggestion
entrench entrenchment
carbonate carbon
modify modification
smuggle smuggling
revoke revocation
migrate migrant
heal healing
procure procurement
displease displeasure
rebut rebuttal
soar soaring
purchase purchasing
bake baking
roll roller
orchestrate orchestrator
entertain entertainer
depict depicting
locate location
go going
boat boating
furnish furniture
compel compulsion
dominate dominance
magnify magnitude
entertain entertainment
behold beholder
stock stocking
professionalize professionalization
convene convention
compute computer
train training
rule ruler
detain detainee
relive reliving
skip colloquialism
testify testimony
transfer transferor
nurse nursing
grin grinning
acknowledge acknowledgment
detonate detonation
rent rental
access accession
disappear disappearance
miniaturize miniature
combat combatant
monopolize monopolization
pun punning
obligate obligation
counsel counselor
buy buyer
conceive conception
battle battler
devalue devaluation
audit auditor
shut shutting
call caller
compare comparing
persuade persuasion
revolve roll
depreciate depreciation
splash splashing
limit limiter
refill refilling
absent absence
encroach encroachment
time timing
moderate moderator
forfeit forfeiture
care caring
measure measuring
deregulate deregulating
shake shaker
mutilate mutilation
correlate correlation
certify certificate
regulate regulator
connect connexion
gas gassing
crack cracker
embrace embracing
entice enticement
sniff sniffer
delude delusion
bear bearing
punish punishment
suck sucker
cleave cleaver
slate slating
import importing
demolish demolition
prosecute prosecution
freelance freelancer
mold molding
guide guidance
squat squatting
grumble grumbling
dream dreamer
pick pickings
dispense dispenser
taste tasting
chastise chastisement
whisper whispering
propel propeller
correspond correspondent
electrify electricity
dodge dodger
occupy occupancy
urinate urine
lament lamentation
commute commuting
raise raising
revitalize revitalization
subsist subsistence
disengage disengagement
connect connection
jest jester
deport deportment
justify justification
shore shoring
ascend ascendancy
defy defiance
rush rushing
drill drilling
mine miner
subside subsidence
germinate germination
jut jutting
retrieve retrieval
summon summoning
propel propellant
date dating
resolve resolving
decorate decoration
improve improvement
affiliate affiliation
meet meeting
solidify solid
pare paring
kiss kissing
toy toying
frighten frightening
scheme schemer
draw drawing
sink sinking
spell spelling
bump bumper
elect election
arraign arraignment
imitate imitator
deter deterrent
prune pruning
interact interaction
precede precedent
incur incursion
remain remainder
addict addiction
torment tormentor
work worker
fluctuate fluctuation
chase chaser
hook hooker
index indexing
abdicate abdication
ventilate ventilator
coagulate coagulation
convene convener
surf surfing
solder soldering
institute institution
subsidize subsidization
decompose decomposition
tube tubing
weigh weighing
define defining
lift lifter
recycle recycling
conjure conjurer
urge urgency
amaze amazement
immigrate immigration
trail trailer
offend offense
sensitize sensitizer
wait waiting
finger fingering
reveal revealing
capitulate capitulation
walk walker
contradict contradiction
err error
edge edging
dispatch dispatcher
harden hardening
visit visitor
survey surveying
interpret interpreter
plant planting
elevate elevator
expel expelling
score scoring
mutter muttering
disperse dispersion
split splitter
board boarder
relate relation
feel feelings
measure measurement
dominate dominion
stretch stretching
tend tending
inspire inspiration
yawn yawning
misstate misstatement
drink drinker
bromate bromine
bowl bowler
compile compiling
evaluate value
swab swabbing
sputter sputtering
recover recovery
officiate office
type typist
polish polishing
fly flying
post posting
rent renting
sew sewing
command commandment
differentiate differentiator
wander wandering
mask masking
proceed procedure
visualize visualization
mesh meshing
fence fencer
guarantee guarantor
post postage
cook cooker
acquire acquisition
tick ticker
vibrate vibrancy
wring wringer
detect detection
copy copying
forage foraging
divide divider
bleed bleeder
exonerate exoneration
dine diner
subscribe subscription
disbelieve disbeliever
extend extension
annoy annoyance
contemplate contemplation
photograph photographer
propose proposition
suck suction
inspect inspection
partition partitioning
oust ousting
imprison imprisonment
subvert subversion
gut gutter
shadow shadowing
digitize digit
plot plotter
vaccinate vaccinating
drive drift
congregate congregating
escape escapist
globalize globalization
provide provision
analyze analyzer
film filming
copy copier
honor honoring
underwrite underwriter
coat coating
jog jogging
referee refereeing
enjoin injunction
jog jogger
infect infection
decentralize decentralization
initiate initiator
case casing
integrate integration
attend attention
imagine imagination
shear shears
devolve devolution
appraise appraiser
juggle juggling
kneel kneeling
coagulate coagulant
suck sucking
discontinue discontinuance
rehabilitate rehabilitation
bathe bathing
compete competitor
legislate legislature
file filer
resist resistance
shoot shooting
come coming
forbid forbidding
specialize specialist
dispossess dispossession
filter filtration
crawl crawler
wage engagement
expend expenditure
poach poaching
legalize legalization
eject ejector
prompt prompting
paint painter
import importer
attract attraction
reelect reelection
explain explanation
demote demotion
solo soloist
terrorize terror
rinse rinsing
renovate renovation
seep seepage
wipe wiper
shave shaver
calibrate caliber
adventure adventurer
lodge lodging
attain attainment
abound abundance
snorkel snorkeling
empower empowerment
rob robbery
accumulate accumulation
pretend pretending
dedicate dedication
prioritize priority
straggle straggler
fulfill fulfillment
emphasize emphasis
espouse espousal
forsake forsaking
declassify declassification
sit sitting
omit omission
impound impounding
happen happening
climb climber
creep creeping
proclaim proclamation
ache aching
authorize authorization
stockpile stockpiling
sue suit
portray portrait
shave shaving
prime primer
repulse repulsion
submerge submersion
mean meaning
acclaim acclamation
balloon balloonist
reimpose reimposition
attach attachment
devise devising
intoxicate intoxicant
rebel rebellion
interview interviewee
violate violation
entitle entitlement
readmit readmission
graft grafting
precipitate precipitation
mutate mutation
flirt flirtation
incorporate incorporation
ease easement
trump trumping
impute imputation
rustle rustling
flip flipper
bid bidding
assign assignee
chatter chattering
write writing
harvest harvesting
use usage
interpret interpreting
open opener
steamroll steamroller
trounce trouncing
govern governing
multiply multiplier
handle handler
redefine redefinition
convey conveying
expose exposure
extort extortion
administer administration
tone toner
sanctify saint
quantify quantity
fabricate fabricator
deliberate deliberation
redevelop redevelopment
estimate estimator
exemplify example
eventuate event
reunite reunion
sterilize sterilization
float floatation
defile defilement
pollute pollutant
depict depiction
fortify fort
eradicate eradication
adapt adaption
tick ticking
long longer
divorce divorcee
abstain abstinent
elevate elevation
pertain pertinence
hang hanging
allocate allocation
tutor tutelage
peddle peddling
export exporter
automate automation
wheel wheeling
plumb plumbing
chop chopper
sail sailing
rope roping
engage engagement
push pushing
reexamine reexamination
depress depressant
cool cooling
scoff scoffing
invest investor
typify type
ravage ravaging
land lander
cover reporting
slack slacking
propel propellor
arrest arrester
master mastery
litigate litigant
tan tannery
deviate deviant
jeopardize jeopardy
refer reference
reincarnate reincarnation
diagnose diagnosing
devote devotion
stoke stoker
compile compiler
cater caterer
feign feigning
surround surroundings
energize energy
exhibit exhibitor
remain remnant
terrify terror
harvest harvester
tax taxer
lie lying
parcel parceling
railroad railroading
dissect dissection
make maker
cast caster
tap tapping
rectify rectification
immobilize immobilizing
mingle mingling
recreate recreation
effectuate effect
rub rubbing
swindle swindler
moisten moisture
test tester
verify verification
supervise supervising
involve involvement
repent repentance
kill killing
scream screamer
frisk frisking
suppress suppression
perspire perspiration
cuddle cuddling
strengthen strengthening
impeach impeachment
oppose opponent
disarm disarming
debunk debunking
stand standard
merchandise merchandiser
opt option
crystalize crystal
reinforce reinforcement
preserve preserver
alleviate alleviation
apply applicant
defend defendant
rearrange rearrangement
boost booster
exclaim exclaiming
ward warder
integrate integral
twitch twitching
riot rioting
sing song
carpenter carpentry
mystify puzzlement
mistreat mistreatment
update updating
size sizing
accrue accrual
cobble cobbling
bargain bargaining
quote quotation
voyage voyager
abort abortion
usurp usurper
deride derision
extinguish extinguisher
overtake overtaking
record recording
hoax hoaxer
abolish abolition
condition conditioning
tame tamer
reforest reforestation
decide deciding
recite recital
signify sign
baffle mystery
inform information
offend offender
contribute contribution
relapse relapsing
abstain abstinence
invert inversion
rival rivalry
begin beginner
assert assertion
quantify quantification
qualify qualification
retail retailing
intimate intimation
rally rallying
inform informing
militarize militarization
forestall forestalling
blow blowing
break breakage
make making
arbitrate arbiter
insure insurer
chant chanting
gather gathering
erect erecting
criticize critic
cure curing
vary variance
encapsulate encapsulation
ice icing
recuse recusal
protest protester
consecrate consecration
rant ranting
induce inducement
equalize equalization
mix mixing
indulge indulgence
seize seizure
evaluate evaluation
slave slavery
tamp tamper
green greening
thrust thruster
exhaust depletion
scrape scraping
forecast forecaster
replace replacement
include inclusion
sing singing
load loader
bottle bottler
cluster clustering
accord accordance
occupy occupier
reclaim reclamation
focus focusing
banish banishment
murmur murmuring
ring ringing
titillate titillation
notify notice
burn burner
portray portraying
prevaricate prevarication
separate discrimination
augment augmentation
wear wearer
snort snorting
denigrate denigration
sleep sleeper
love lover
develop developer
extinguish extinguishing
machine machinery
dignify dignity
compose composure
publicize publicist
restore restoration
warehouse warehousing
confide confidant
dictate dictation
climb climbing
specify specification
obsess obsession
adopt adoption
package packaging
enrich enrichment
encase encasement
disagree disagreement
retard retardation
wrestle wrestler
exercise exercising
block blockage
pursue pursuance
depopulate depopulation
wander wanderer
recommence recommencement
dodge dodging
propose proposal
differentiate differentiation
sling slinging
say saying
hop hopper
obstruct obstruction
convey conveyer
heat heater
liberate liberator
liquefy liquefaction
hurt hurting
mend mending
abate abatement
cannibalize cannibal
scoot scooter
collect collector
profess profession
weep weeping
apprehend apprehension
loosen loosening
assail assailant
disinfect disinfection
commit committee
indicate indication
present presentation
lug luggage
flank flanker
goad goading
mow mower
monopolize monopolist
puzzle puzzlement
demonstrate demonstrator
inspect inspector
ventilate vent
deduce deduction
infer inference
enlist enlistment
discuss discussion
cease cessation
punt punter
hunt hunter
acquire acquiring
sense sensing
mourn mourner
tax taxation
carbonate carbonation
materialize materialization
configure configuration
focus focussing
cause causation
inquire inquiring
infuse infusion
concord concurrence
transplant transplantation
silence silencer
suffer sufferer
provide provider
presuppose presupposition
quack quackery
absolve absolution
found founding
raid raider
minimize minimum
clean cleaner
infiltrate infiltration
restate restatement
emulate emulator
complain complainant
calculate calculation
bake baker
bound boundary
line liner
beat beater
give giving
enlist enlisting
communicate communicating
twist twisting
regress regression
equate equator
speed speeding
squeeze squeezing
blow blower
cast casting
vacation vacationing
stabilize stabilizer
dampen dampening
revalue revaluation
vouch voucher
direct place
close closing
confederate confederation
save savior
dawn dawning
decompress decompression
reassign reassignment
accept acceptance
market marketer
intersect intersection
furnish furnishing
profess professing
betray betrayal
toast toasting
compose composing
act actor
start starter
douse dousing
enclose enclosing
direct director
circulate circle
clap clapping
arm armor
interrupt interruption
track tracking
shatter shattering
guzzle guzzling
induce induction
trumpet trumpeter
arbitrate arbitration
sign signing
insert insertion
write writer
beat beating
divert diversion
recalculate recalculation
prevent prevention
wax waxing
carve carving
recede recession
fence fencing
interfere interference
float flotation
computerize computerization
degenerate degeneration
impair impairment
crowd crowding
stone stoning
found founder
sequester sequestration
strangle strangling
wreck wrecking
invalidate invalidation
yell yelling
unionize union
lynch lynching
injure injury
watch watching
demolish demolishing
replenish replenishment
feather feathering
cover coverage
row rowing
scrutinize scrutiny
cruise cruiser
hook hooking
place placement
charge charger
count counting
regulate regulating
portray portrayal
rebuild rebuilding
elect electorate
enforce enforcer
mat matting
acclimate climate
disburse disbursement
vary variant
abduct abduction
adapt adapter
loot looting
shorten shortening
meditate meditation
cool coolant
face facing
differ difference
