TRAINING
weld welding
top topper
compose component
smuggle smuggling
depict picture
deify deity
appear appearance
magnify magnifier
speak speech
mock mockery
stain stainer
fabricate fabrication
aspire aspirant
pollinate pollination
reunify reunion
connect connector
haggle haggling
speculate speculator
celebrate celebrant
choke choker
cover report
fish fishery
toboggan tobogganing
digest digestion
emphasize emphasis
run running
long longing
travel traveler
seduce seduction
fasten fastening
require requirement
play playing
immobilize immobilization
unify unit
traffic trafficker
subdivide subdivision
penetrate penetration
itemize item
expire expiration
act actor
win winner
serve serving
intrude intrusion
make making
centralize centralization
disinvest disinvestment
ranch rancher
frisk frisking
thrust thrusting
watch watcher
procrastinate procrastination
elect elector
reason reasoning
nullify nullification
boost booster
pretend pretense
fold folding
calculate calculus
manifest manifestation
round rounder
defect defection
manipulate manipulator
conciliate conciliator
dump dumping
eavesdrop eavesdropper
transgress transgression
freshen freshener
design designing
parole parolee
simplify simplification
blackmail blackmailer
curtail curtailment
launch launcher
detoxify detoxification
save savior
rock rocker
console consolation
dissipate dissipation
counsel counseling
quiver quivering
bind bindery
understate understatement
savor savoring
warn warning
yacht yachting
die dying
invent inventor
merchandise merchandising
transpose transposition
gather gatherer
rush rusher
trick trickery
position positioning
think thinking
stipulate stipulation
build builder
swell swelling
index indexation
peruse perusing
disband disbandment
fly flyer
worry worrying
dine diner
legislate legislation
rig rigging
time timing
reconstruct reconstruction
audit auditor
miscalculate miscalculation
pressurize pressure
buff buffer
militarize militarization
pray prayer
show showing
underperform underperformer
compress compression
collide collision
solicit solicitation
send sender
join joining
blow blower
astonish astonishment
synchronize synchronization
intensify intensity
miniaturize miniaturization
perpetrate perpetrator
shred shredder
store storage
copy copier
jeer jeering
defect defector
electrify electrification
lever leverage
collaborate collaborator
dilate dilatation
perpetrate perpetration
simulate simulation
conceal concealing
bid bidding
program programing
disown disowning
remain remnant
quadruple quadrupling
clarify clarification
incline inclination
ward warder
mumble mumbling
abstain abstention
graduate graduation
acknowledge acknowledgment
hunt hunter
reconsider reconsideration
ignite ignition
deduce deduction
claim claimant
demote demotion
repute reputation
appeal appellant
innovate innovation
revert reverting
gut gutter
restore restoration
revolt revolution
foot footer
define definition
terminate termination
bid bidder
shine shining
patent patentee
consign consignment
compare comparing
utilize utility
commit committee
deposit depositor
observe observer
deprecate deprecation
farm farming
rail railing
moderate moderation
seek seeking
secrete secretion
unmask unmasking
house housing
congratulate congratulation
gloat gloating
ruin ruining
forward forwarding
conduct conducting
create creator
stun stunner
moderate moderator
block blockage
imply implication
compassionate compassion
supplant supplanting
line lining
arouse arousal
brainstorm brainstorming
permit permission
irradiate irradiation
spin spinner
give giver
direct director
enlist enlistment
baffle mystery
rattle rattling
design designer
retrench retrenchment
entitle entitlement
promulgate promulgation
decompress decompression
bat batter
invoke invocation
presuppose presupposition
intervene intervention
consider consideration
belong belongings
relate relation
eject ejector
restrict restriction
evaporate vapor
deflate deflation
probate probation
lag laggard
rehabilitate rehabilitation
remain continuation
defoliate defoliation
wander wandering
cleave cleavage
bowl bowler
whip whipping
untangle untangling
hurdle hurdler
deviate deviant
vanish vanishing
impersonate persona
verify verification
transport transporter
vibrate vibrancy
impute imputation
will willing
gyrate gyration
erect erection
punctuate punctuation
pace pacing
evaporate evaporation
thin thinning
mitigate mitigation
roar roaring
commission commissioner
seal sealer
assign assignment
correspond correspondence
coalesce coalition
detect detection
reminisce reminiscence
devastate devastation
convey conveyance
steam steamer
whistle whistling
harvest harvesting
hike hiker
capitalize capitalization
ordain ordinance
command commandant
count counter
fry frying
bust buster
recollect recollection
wean weaning
conquer conqueror
acclimatise climate
consist consistence
withhold withholding
carve carving
survive survivor
inspire inspiration
plot plotter
awaken awakening
kidnap kidnapping
deal dealing
smart smarting
precipitate precipitator
renew renewal
propose proposer
rib ribbing
entrench entrenchment
course coursing
compile compiler
document documentation
plumb plumbing
illustrate illustration
plan planning
spread spreading
idle idler
obliterate obliteration
repel repellant
rot rotting
revise revision
demarcate demarcation
murder murderer
participate participation
insulate insulator
reside residency
tour tourist
lodge lodgings
delineate delineation
mark marking
expect expectation
train trainer
forsake forsaking
transport transportation
tail tailing
breathe breathing
castrate castration
appraise appraisal
spot spotter
skate skater
concede concession
swim swimming
retrain retraining
abort abortion
issue issuer
refuse refusal
litigate litigation
stamp stamper
conserve conservation
recite recitation
install installation
abolish abolition
master mastering
insert insertion
steamroll steamroller
patch patching
dirty dirtying
sparkle sparkler
elevate elevator
wither withering
talk talker
volunteer voluntary
carry carriage
ranch ranching
recycle recycling
arrange arranger
howl howling
bite biter
number numbering
give giving
induce inducing
rate rating
rear rearing
serve servant
secede secession
divest divestiture
dispute disputation
close closer
generate generation
cohabit cohabitation
ascend ascension
fall accrual
distract distraction
negate negation
fit fitting
occupy occupation
mix mixing
refresh refresher
case casing
state statement
lodge lodger
converse conversation
affirm affirmation
relocate relocation
persevere perseverance
abandon abandonment
decorate decoration
swerve swerving
breed breeding
convene convener
widen widening
defer deferral
hurdle hurdling
hit hitter
rival rivalry
render rendition
assist assistant
full fuller
paper papering
emulate emulator
renounce renunciation
sting stinger
radiate radiator
ripple rippling
research researcher
judge judiciary
accompany accompaniment
sew sewer
swear swearing
add addition
beautify beautification
standardize standardization
disappear disappearing
debar debarment
sing song
investigate investigating
evacuate evacuation
continue continuation
fix fixture
enter entrance
radiate radiation
edit editing
ripen ripening
empty emptying
govern governance
remarry remarriage
tolerate tolerance
control controller
elect electorate
cross crossing
taper tapering
baptise baptism
knock knocker
mystify mystification
analyze analyzer
recuse recusal
manage management
indulge indulging
define defining
rumble rumbling
depart departure
function functionary
landscape landscaping
steal stealing
decompose decomposition
confirm confirmation
waver wavering
truck trucking
deactivate deactivation
tape taping
pervert perversion
subscribe subscription
glide gliding
entertain entertainer
employ employment
yearn yearning
designate designation
index indexing
trail trailing
refute refutation
reject rejection
receive recipient
descend descent
achieve achievement
avow avowal
wrestle wrestler
transmit transmitting
determine determination
enlarge enlargement
attend attention
apprehend apprehension
fail failure
converge converging
dribble dribbling
preserve preservation
flame flaming
dissolve dissolving
grind grinding
multiply multiplication
classify class
intersect intersection
retract retraction
deflate deflator
shoot shooter
consign consignee
swing swinging
wave waver
poison poisoning
read reader
tell tale
manufacture manufacturer
bank banker
sympathize sympathy
spur spurring
attach attachment
compose composure
confine confinement
stir stirring
bombard bombardment
rescind rescission
dawn dawning
promote promotion
stock stocking
sound sounding
founder foundering
adventure adventurer
bellow bellowing
commit committal
phrase phrasing
commit commission
erode eroding
infiltrate infiltration
excavate excavation
think thinker
crush crushing
constitute constituent
hang hanger
portend portent
revalue revaluation
err error
repair reparation
let lessor
snap snapper
occupy occupant
curl curling
condense condensation
enjoin enjoining
scream screamer
fabricate fabricator
assess assessment
remit remittance
extinguish extinguisher
concentrate concentration
divide divider
finish finisher
warehouse warehousing
alternate alternation
optimize optimization
purify purification
integrate integrating
delude delusion
mug mugger
sever severing
tan tannery
knock knocking
shorten shortening
survey surveyor
repossess repossession
beep beeper
validate validation
salve salvation
consult consultation
reserve reservation
harass harassment
sheet sheeting
organize organizer
part parting
nominate nomination
disappoint disappointment
auction auctioneer
encode encoding
conform conformance
season seasoning
discontinue discontinuation
stew stewing
group grouping
resemble resemblance
kill killer
ready readying
collect collection
administrate administrator
annul annulment
discount discounter
forecast forecasting
swab swabbing
game gaming
devise devising
select selector
deconstruct deconstruction
determine determinant
solve solver
reinsure reinsurance
detract detractor
mystify puzzle
conspire conspiracy
scheme schemer
admit admission
falsify falsification
coerce coercion
inflict infliction
stonewall stonewalling
diminish diminution
word wording
green greenery
sift sieve
assert assertion
coin coinage
transplant transplantation
misrepresent misrepresentation
down downer
log logging
clot clotting
brace bracing
foster fostering
instruct instructor
model modeling
wish wishing
get getting
debate debater
squat squatter
proliferate proliferation
rebury reburial
monetize monetization
interpret interpreting
object objection
clown clowning
absorb absorber
wreck wrecker
counsel counselor
eject ejection
cooperate cooperation
organize organization
abate abatement
mobilize mobilization
mug mugging
fuel fueling
fall faller
cool cooling
suffice sufficiency
relegate relegating
wound wounding
suppress suppression
pension pensioner
lay layer
bind binding
extract extraction
second secondment
rehearse rehearsal
commute commutation
putt putting
bathe bathing
consume consumer
avert aversion
replace replacing
register registration
eliminate elimination
include inclusion
sedate sedation
submerge submersion
begin beginning
name naming
inhibit inhibitor
adopt adoption
splash splashing
float floatation
repeat repetition
scrub scrubber
evolve evolution
intrude intruder
impound impounding
defy defiance
implement implementation
process processing
tighten tightening
disfigure disfigurement
terminate finish
help helping
subsist subsistence
oxygenate oxygen
smack smacking
oscillate oscillation
clamor clamoring
elope elopement
encrypt encryption
sour souring
sediment sedimentation
turn turner
inspect inspection
abstract abstraction
tie tier
expend expending
mask masking
cleave cleft
page paging
raze razing
insist insistence
invert inverter
harmonize harmony
recruit recruitment
use usage
rule ruling
solicit solicitor
revoke revocation
vibrate vibration
precede precedent
procure procurement
prospect prospector
rebut rebuttal
suffer suffering
purchase purchasing
bake baking
roll roller
orchestrate orchestrator
exert exertion
disconnect disconnection
inquire inquiry
go going
boat boating
value valuer
compel compulsion
dominate dominance
magnify magnitude
entertain entertainment
redevelop redevelopment
disseminate dissemination
professionalize professionalization
congregate congregation
compute computer
train training
migrate migrant
rope roping
connect connexion
skip colloquialism
testify testimony
transfer transferor
nurse nursing
grin grinning
compose composition
detonate detonation
rent rental
frustrate frustration
repress repression
license licensee
combat combatant
monopolize monopolization
distribute distribution
obligate obligation
devote devotee
wire wiring
conceive conception
extract extractor
slug slugger
sprinkle sprinkler
drink drunkard
breathe breather
immerse immersion
eradicate eradication
drum drumming
depreciate depreciation
publish publisher
freight freighter
cricket cricketer
combine combining
encroach encroachment
rent renter
wet wetting
assimilate assimilation
care caring
tabulate tabulation
hit hitting
battle battler
load loading
correlate correlation
dismiss dismissal
regulate regulator
beat bafflement
slice slicing
impose imposition
animate animator
entice enticement
snorkel snorkeling
incur incurring
bear bearing
punish punishment
incubate incubator
oust ousting
slate slating
import importing
demolish demolition
inflate inflation
freelance freelancer
credit creditor
feign feigning
squat squatting
orbit orbiter
dream dreamer
degenerate degeneration
dispense dispenser
pilfer pilferage
chastise chastisement
whisper whispering
possess possession
rustle rustling
announce announcement
dodge dodger
cleanse cleansing
raft rafter
lament lamentation
commute commuting
differentiate differentiation
daub daubing
shed shedding
disengage disengagement
scan scanning
tube tubing
deport deportment
justify justification
reduce reducer
ascend ascendancy
grow growing
dispose disposition
drill drilling
mine miner
cycle cycling
germinate germination
jut jutting
retrieve retrieval
overheat overheating
divorce divorcee
date dating
salve salvage
engineer engineering
pose poser
parachute parachuting
meet meeting
clip clipping
pare paring
kiss kissing
earn earner
erode erosion
run runner
draw drawing
sink sinking
beatify beatification
project projection
kick kicker
vacate vacation
emphasize emphasizing
drum drummer
agree agreement
page pager
dock dockage
decode decoding
serve server
transmit transmitter
torment tormentor
work worker
fluctuate fluctuation
communicate communication
hook hooker
resume resumption
abduct abductor
ventilate ventilator
coagulate coagulation
solve solvent
surf surfing
dock docking
convoke convocation
execute executing
maltreat maltreatment
violate violator
weigh weighing
tempt temptation
imprison imprisonment
sift sifting
conjure conjurer
etch etching
spoil spoilage
immigrate immigration
devolve devolution
offend offense
sensitize sensitizer
forestall forestalling
vaccinate vaccine
sing singer
capitulate capitulation
walk walker
acquire acquiring
canal canalization
edge edging
impede impediment
study student
attribute attribution
appraise appraiser
prowl prowler
infect infection
follow following
acclimate climate
box boxing
hack hacker
pollinate pollen
suggest suggestion
wander wanderer
emit emission
feel feelings
contend contention
sight sighting
stretch stretching
tend tending
reach reaching
yawn yawning
misstate misstatement
growl growling
post poster
modernize modernization
compile compiling
evaluate value
portray portraitist
sputter sputtering
recover recovery
officiate office
mark marker
polish polishing
reassign reassignment
equate equating
skateboard skateboarding
sew sewing
apply applicant
differentiate differentiator
confer conference
tamper tampering
sling slinging
punch puncher
space spacing
vary variance
confuse confusion
falsify falsifying
cook cooker
acquire acquisition
void voiding
irritate irritation
wring wringer
sleep sleeper
copy copying
lug luggage
adhere adhesion
bleed bleeder
exonerate exoneration
engrave gravure
reunite reunion
disbelieve disbeliever
extend extension
inoculate inoculating
clap clapping
burglarize burglary
paint painting
refine refinery
comb combing
hijack hijacker
procreate procreation
tend tendency
cool cooler
assign assignation
redistribute redistribution
patronize patron
coax coaxing
vaccinate vaccinating
mount mounting
congregate congregating
clean cleaner
sense sensing
poke poker
coincide coincidence
film filming
train trainee
wear wearing
underwrite underwriter
coat coating
squander squandering
subvert subversion
play player
stripe striping
inhale inhalation
chew chewing
insure insurer
itch itching
integrate integration
center centering
act action
shear shears
fruit fruition
transfer transferral
lean leaner
support supporter
pipe piper
behold beholder
abstain abstinence
focus focussing
seep seepage
abet abettor
legislate legislature
hunt hunting
resist resistance
contain containment
come coming
retire retirement
crystallize crystal
dispossess dispossession
filter filtration
crawl crawler
shave shaver
expend expenditure
dispense dispensation
service servicing
code coding
score scoring
paint painter
tailor tailoring
wait waiting
explain explanation
pass passing
translate translation
solo soloist
terrorize terror
arbitrate arbiter
renovate renovation
humiliate humiliation
ingest ingestion
subsidize subsidy
calibrate caliber
travel traveling
lodge lodging
attain attainment
overpay overpayment
defend defendant
empower empowerment
rob robbery
employ employee
hold holding
format formatting
mediate mediator
collect collecting
smooth smoother
solidify solid
immobilize immobilizing
summon summoning
plaster plastering
sit sitting
omit omission
urinate urination
happen happening
climb climber
enclose enclosing
exercise exercising
survey surveying
crystalize crystal
loathe loathing
reduce reduction
spell spelling
shave shaving
diffuse diffusion
depict depicting
assassinate assassin
unite union
acclaim acclamation
solve solution
ape aper
recur recurrence
revel revelry
intoxicate intoxicant
communicate communicating
interview interviewee
violate violation
infuriate fury
readmit readmission
catch catcher
present presenter
mutate mutation
flirt flirtation
please pleasing
ease easement
trump trumping
kick kicking
pitch pitching
flip flipper
notify notice
monitor monitoring
attend attendance
write writing
devaluate devaluation
frame framing
disperse dispersion
officiate officiating
vary variate
trounce trouncing
govern governing
apologize apology
rebuild rebuilding
redefine redefinition
assassinate assassination
park parking
suppress suppressor
soldier soldiering
tone toner
pronounce pronouncement
flatter flattery
realize realization
dissolve dissolution
dismantle dismantlement
captivate captive
scoot scooter
oust ouster
find finding
curl curler
heat heater
overvalue overvaluation
reappraise reappraisal
depict depiction
displease displeasure
assemble assemblage
adapt adaption
merge merger
long longer
process processor
authorize authorization
steer steerage
pertain pertinence
carbonate carbon
allocate allocation
addict addiction
peddle peddling
export exporter
automate automation
strain straining
compose composer
chatter chattering
sail sailing
criminalize criminal
subsidize subsidization
close closure
reexamine reexamination
dilate dilation
suck suction
scoff scoffing
flood flooding
typify type
ravage ravaging
abet abetment
blend blender
drug drugging
ignore ignorance
arrest arrester
stifle stifling
lease lessee
forage foraging
revive revival
jeopardize jeopardy
refer reference
detain detainee
diagnose diagnosing
devote devotion
stoke stoker
imitate imitator
tell teller
repulse drive
surround surroundings
brew brewery
exhibit exhibitor
zip zipper
shiver shivering
commune communion
grow grower
conciliate conciliation
insure insurance
railroad railroading
dissect dissection
rush rushing
cast caster
tap tapping
accelerate acceleration
persuade persuasion
transit transition
recreate recreation
survive survival
convey conveyer
swindle swindler
moisten moisture
pigment pigmentation
chase chaser
litigate litigant
involve involvement
repent repentance
cow coward
dispose disposal
induce inducement
construct construction
foil foiling
dry drier
strengthen strengthening
mistreat mistreatment
oppose opponent
ship shipping
bankrupt bankruptcy
explode explosion
codify code
fly flier
dance dancing
reinforce reinforcement
preserve preserver
plate plating
interdict interdiction
win winnings
stand stance
optimize optimum
improve improvement
portray portrait
misinterpret misinterpretation
twitch twitching
intimidate intimidation
misunderstand misunderstanding
fight fighting
mystify puzzlement
settle settling
pollute polluter
examine examiner
cover reportage
cobble cobbling
bleed bleeding
drive driver
bromate bromine
machine machinist
rid riddance
deride derision
follow follower
cover reporting
propose proposal
hoax hoaxer
garden gardening
condition conditioning
tame tamer
identify identification
ally alliance
pay payer
signify sign
press pressing
write writer
offend offender
walk walking
tune tuner
smoke smoker
invert inversion
crackle crackling
connect connection
hatch hatchery
quantify quantification
qualify qualification
retail retailing
stalk stalking
rally rallying
reckon reckoning
profess profession
align alignment
stabilize stabilization
break breakage
sparkle sparkling
please pleaser
amaze amazement
die death
gather gathering
erect erecting
criticize critic
cure curing
locate locator
encapsulate encapsulation
camp camping
color coloring
protest protester
tense tension
issue issuing
demonstrate demonstrator
yield yielding
translate translator
indulge indulgence
skim skimming
evaluate evaluation
announce announcer
arbitrate arbitrator
adapt adapter
ramp rampage
exhaust depletion
scrape scraping
forecast forecaster
wrap wrapping
operate operator
amalgamate amalgam
sort sorting
bottle bottler
cluster clustering
accord accordance
occupy occupier
reclaim reclamation
pirate piracy
restore restorer
shout shouting
advertise advertising
parent parentage
recant recantation
burn burner
ride rider
prevaricate prevarication
separate discrimination
listen listener
wear wearer
snort snorting
erupt eruption
pick picker
forest forestry
develop developer
extinguish extinguishing
machine machinery
dignify dignity
normalize normalization
apportion apportionment
row rowing
comprehend comprehension
dispatch dispatcher
treat treatment
climb climbing
frost frosting
obsess obsession
delete deletion
package packaging
adjudicate judge
speak speaker
wrangle wrangling
retard retardation
personify persona
revert reversion
bear bearer
maintain maintenance
achieve achiever
substantiate substantiation
resent resentment
confront confrontation
unite uniting
fence fencer
farm farmer
jab jabbing
suffer sufferer
obstruct obstruction
cry crying
equate equator
liberate liberator
liquefy liquefaction
flute fluting
mend mending
wheel wheeling
instruct instruction
readjust readjustment
haul haulage
disrupt disruption
weep weeping
fascinate fascination
loosen loosening
earn earnings
disinfect disinfection
concur concurrence
disapprove disapproval
shrink shrinking
factor factoring
accept acceptance
compute computation
mold molding
move motion
file filing
propose proposition
streak streaker
ventilate vent
measure measurer
fold folder
further furtherance
diversify diversity
standardize standard
punt punter
shut shutter
taunt taunting
desert deserter
dilute dilution
tax taxation
roof roofing
materialize materialization
arm armor
legitimate legitimacy
integrate integral
back backer
crow crowing
concord concurrence
thaw thawing
silence silencer
interpret interpreter
relieve reliever
suck sucking
quack quackery
absolve absolution
found founding
disgorge disgorgement
cleave cleaver
deregulate deregulation
exaggerate exaggeration
circumcise circumcision
hook hooking
limit limiter
mesh meshing
persuade persuader
expel expelling
lose loser
beat beater
consolidate consolidation
enlist enlisting
tick ticking
twist twisting
dangle dangling
partition partitioning
speed speeding
facilitate facilitation
provide provision
originate origin
unionize unionization
drive driving
install installment
impeach impeachment
vouch voucher
expound expansion
disable disablement
confederate confederation
relapse relapsing
consume consumption
saturate saturation
shatter shattering
intensify intensification
calibrate calibration
scour scouring
dampen dampening
supply supplying
imitate imitation
toast toasting
compose composing
declare declaration
start starter
douse dousing
absent absentee
conceive concept
circulate circle
quarter quarters
signify significance
stop stoppage
track tracking
whack whacking
guzzle guzzling
induce induction
garden gardener
betray betrayal
sign signing
investigate investigation
roast roasting
open opener
divert diversion
kidnap kidnapper
prevent prevention
submerge submerging
chop chopper
admonish admonition
fence fencing
present presentation
float flotation
recuperate recuperation
take taking
impair impairment
trust trustee
stone stoning
pollute pollutant
ache aching
strangle strangling
wreck wrecking
deceive deception
yell yelling
proceed procession
lynch lynching
inherit inheritance
pop popping
demolish demolishing
sniff sniffer
feather feathering
cover coverage
mix mixer
scrutinize scrutiny
cruise cruiser
subcontract subcontractor
mingle mingling
replenish replenishment
count counting
regulate regulating
portray portrayal
dampen dampener
tackle tackler
torture torturing
synchronize synchronizing
intimate intimation
know knowing
sneeze sneezing
abduct abduction
flee flight
loot looting
slam slammer
deal dealer
pack packer
face facing
differ difference
advise advisement
encourage encouragement
abstain abstinent
cast casting
puff puffing
bargain bargaining
